date,all,male,female
0.0,136,61,75.0
1.0,170,96,74.0
2.0,217,119,98.0
3.0,235,115,120.0
4.0,278,138,140.0
5.0,353,165,188.0
6.0,297,152,145.0
7.0,333,167,166.0
8.0,396,216,180.0
9.0,420,221,199.0
10.0,496,251,245.0
11.0,508,274,234.0
12.0,474,252,222.0
13.0,396,217,179.0
14.0,362,189,173.0
15.0,398,206,192.0
16.0,415,214,201.0
17.0,502,252,250.0
18.0,534,288,246.0
19.0,550,273,277.0
20.0,502,261,241.0
21.0,553,308,245.0
22.0,526,284,242.0
23.0,512,274,238.0
24.0,491,264,227.0
25.0,515,285,230.0
26.0,481,242,239.0
27.0,460,234,226.0
28.0,467,252,215.0
29.0,486,248,238.0
30.0,513,252,261.0
31.0,506,269,237.0
32.0,490,237,253.0
33.0,470,239,231.0
34.0,458,228,230.0
35.0,432,211,221.0
36.0,441,214,227.0
37.0,458,215,243.0
38.0,471,226,245.0
39.0,499,247,252.0
40.0,471,237,234.0
41.0,478,222,256.0
42.0,534,254,280.0
43.0,516,242,274.0
44.0,537,244,293.0
45.0,535,262,273.0
46.0,572,267,305.0
47.0,568,284,284.0
48.0,626,296,330.0
49.0,618,283,335.0
50.0,609,295,314.0
51.0,628,284,344.0
52.0,646,291,355.0
53.0,631,310,321.0
54.0,615,295,320.0
55.0,576,293,283.0
56.0,625,308,317.0
57.0,584,292,292.0
58.0,591,302,289.0
59.0,521,263,258.0
60.0,485,263,222.0
61.0,509,268,241.0
62.0,464,230,234.0
63.0,426,200,226.0
64.0,417,210,207.0
65.0,404,219,185.0
66.0,378,187,191.0
67.0,334,168,166.0
68.0,294,144,150.0
69.0,288,153,135.0
70.0,273,139,134.0
71.0,323,151,172.0
72.0,278,151,127.0
73.0,257,133,124.0
74.0,258,134,124.0
75.0,195,86,109.0
76.0,183,90,93.0
77.0,203,101,102.0
78.0,203,89,114.0
79.0,185,68,117.0
80.0,188,81,107.0
81.0,194,89,105.0
82.0,172,63,109.0
83.0,161,62,99.0
84.0,151,70,81.0
85.0,174,69,105.0
86.0,156,56,100.0
87.0,160,62,98.0
88.0,143,46,97.0
89.0,99,36,63.0
90.0,114,49,65.0
91.0,90,22,68.0
92.0,68,22,46.0
93.0,45,16,29.0
94.0,52,12,40.0
95.0,39,10,29.0
96.0,16,6,10.0
97.0,22,7,15.0
98.0,20,7,13.0
99.0,5,1,4.0
100.0,6,2,4.0
101.0,8,3,5.0
102.0,2,0,2.0
103.0,2,1,1.0
104.0,4,2,2.0
105.0,0,0,
106.0,0,0,
107.0,0,0,
108.0,1,1,
109.0,1,1,
