date,all,male,female
0.0,1887,1027.0,860
1.0,2483,1275.0,1208
2.0,2722,1390.0,1332
3.0,3257,1721.0,1536
4.0,3736,1974.0,1762
5.0,4015,2076.0,1939
6.0,4476,2316.0,2160
7.0,4781,2580.0,2201
8.0,4932,2589.0,2343
9.0,5143,2693.0,2450
10.0,5517,2837.0,2680
11.0,5743,3010.0,2733
12.0,5408,2799.0,2609
13.0,5128,2595.0,2533
14.0,4955,2454.0,2501
15.0,5156,2530.0,2626
16.0,5263,2607.0,2656
17.0,5491,2655.0,2836
18.0,5380,2598.0,2782
19.0,3897,1968.0,1929
20.0,3941,1940.0,2001
21.0,4075,1966.0,2109
22.0,4015,1902.0,2113
23.0,3959,1866.0,2093
24.0,3834,1791.0,2043
25.0,3944,1835.0,2109
26.0,3811,1786.0,2025
27.0,4067,1884.0,2183
28.0,4071,1883.0,2188
29.0,4313,1974.0,2339
30.0,4386,2010.0,2376
31.0,4514,2124.0,2390
32.0,4822,2262.0,2560
33.0,4691,2057.0,2634
34.0,4832,2209.0,2623
35.0,4788,2118.0,2670
36.0,4988,2183.0,2805
37.0,4960,2161.0,2799
38.0,5087,2286.0,2801
39.0,5122,2224.0,2898
40.0,5157,2326.0,2831
41.0,5209,2313.0,2896
42.0,5132,2273.0,2859
43.0,5352,2392.0,2960
44.0,5254,2375.0,2879
45.0,5394,2386.0,3008
46.0,5394,2440.0,2954
47.0,5267,2398.0,2869
48.0,5147,2331.0,2816
49.0,5176,2388.0,2788
50.0,5028,2299.0,2729
51.0,4893,2225.0,2668
52.0,4991,2218.0,2773
53.0,4871,2215.0,2656
54.0,4761,2275.0,2486
55.0,4667,2207.0,2460
56.0,4571,2134.0,2437
57.0,4471,2128.0,2343
58.0,4237,1975.0,2262
59.0,4129,1884.0,2245
60.0,4034,1840.0,2194
61.0,3926,1828.0,2098
62.0,3594,1669.0,1925
63.0,3435,1640.0,1795
64.0,3370,1620.0,1750
65.0,3191,1560.0,1631
66.0,3022,1486.0,1536
67.0,2851,1464.0,1387
68.0,2618,1295.0,1323
69.0,2472,1232.0,1240
70.0,2372,1145.0,1227
71.0,2349,1171.0,1178
72.0,2389,1207.0,1182
73.0,2349,1158.0,1191
74.0,2287,1139.0,1148
75.0,1962,982.0,980
76.0,1602,839.0,763
77.0,1413,698.0,715
78.0,1438,673.0,765
79.0,1249,601.0,648
80.0,1276,593.0,683
81.0,1376,621.0,755
82.0,1303,566.0,737
83.0,1114,490.0,624
84.0,1034,409.0,625
85.0,991,412.0,579
86.0,953,379.0,574
87.0,863,349.0,514
88.0,780,310.0,470
89.0,639,241.0,398
90.0,615,228.0,387
91.0,485,186.0,299
92.0,413,153.0,260
93.0,311,99.0,212
94.0,209,75.0,134
95.0,184,49.0,135
96.0,144,38.0,106
97.0,112,31.0,81
98.0,70,13.0,57
99.0,46,16.0,30
100.0,41,10.0,31
101.0,22,6.0,16
102.0,10,1.0,9
103.0,7,2.0,5
104.0,11,5.0,6
105.0,1,0.0,1
106.0,3,3.0,0
107.0,4,3.0,1
108.0,1,,1
109.0,0,,0
110.0,2,,2
