date,all,male,female
0.0,14,8.0,6
1.0,5,3.0,2
2.0,1,1.0,0
3.0,2,1.0,1
4.0,1,1.0,0
5.0,3,0.0,3
6.0,1,0.0,1
7.0,2,0.0,2
8.0,1,1.0,0
9.0,2,2.0,0
10.0,2,1.0,1
11.0,1,1.0,0
12.0,1,1.0,0
13.0,0,0.0,0
14.0,1,1.0,0
15.0,4,3.0,1
16.0,4,3.0,1
17.0,4,2.0,2
18.0,7,3.0,4
19.0,9,6.0,3
20.0,10,2.0,8
21.0,13,8.0,5
22.0,18,10.0,8
23.0,9,7.0,2
24.0,11,3.0,8
25.0,17,8.0,9
26.0,15,11.0,4
27.0,12,5.0,7
28.0,17,7.0,10
29.0,21,12.0,9
30.0,24,8.0,16
31.0,37,22.0,15
32.0,29,10.0,19
33.0,27,14.0,13
34.0,35,16.0,19
35.0,21,12.0,9
36.0,22,15.0,7
37.0,37,22.0,15
38.0,29,16.0,13
39.0,47,17.0,30
40.0,26,13.0,13
41.0,40,25.0,15
42.0,37,28.0,9
43.0,46,25.0,21
44.0,55,29.0,26
45.0,47,33.0,14
46.0,64,44.0,20
47.0,68,48.0,20
48.0,68,50.0,18
49.0,66,40.0,26
50.0,82,46.0,36
51.0,83,52.0,31
52.0,87,54.0,33
53.0,102,65.0,37
54.0,112,75.0,37
55.0,104,63.0,41
56.0,117,80.0,37
57.0,120,76.0,44
58.0,127,74.0,53
59.0,116,67.0,49
60.0,123,82.0,41
61.0,129,81.0,48
62.0,126,88.0,38
63.0,140,90.0,50
64.0,136,93.0,43
65.0,143,93.0,50
66.0,150,102.0,48
67.0,132,81.0,51
68.0,141,98.0,43
69.0,114,77.0,37
70.0,142,80.0,62
71.0,142,85.0,57
72.0,145,85.0,60
73.0,150,93.0,57
74.0,151,84.0,67
75.0,131,83.0,48
76.0,120,70.0,50
77.0,141,77.0,64
78.0,133,69.0,64
79.0,130,73.0,57
80.0,121,71.0,50
81.0,117,64.0,53
82.0,86,41.0,45
83.0,95,48.0,47
84.0,98,47.0,51
85.0,95,50.0,45
86.0,103,46.0,57
87.0,93,46.0,47
88.0,86,42.0,44
89.0,75,24.0,51
90.0,64,20.0,44
91.0,45,20.0,25
92.0,45,22.0,23
93.0,33,9.0,24
94.0,24,11.0,13
95.0,11,2.0,9
96.0,17,6.0,11
97.0,10,4.0,6
98.0,1,0.0,1
99.0,6,1.0,5
100.0,0,,0
101.0,0,,0
102.0,0,,0
103.0,2,,2
