date,all,male,female
0.0,2523,1340.0,1183
1.0,3004,1531.0,1473
2.0,2879,1501.0,1378
3.0,3199,1644.0,1555
4.0,3302,1683.0,1619
5.0,3726,1937.0,1789
6.0,3954,2060.0,1894
7.0,4320,2303.0,2017
8.0,4603,2360.0,2243
9.0,4970,2630.0,2340
10.0,5212,2686.0,2526
11.0,5295,2732.0,2563
12.0,5248,2671.0,2577
13.0,5182,2580.0,2602
14.0,5220,2650.0,2570
15.0,5368,2769.0,2599
16.0,5785,2901.0,2884
17.0,6302,3249.0,3053
18.0,6597,3373.0,3224
19.0,6669,3506.0,3163
20.0,6824,3537.0,3287
21.0,6828,3460.0,3368
22.0,6891,3482.0,3409
23.0,6828,3368.0,3460
24.0,6890,3438.0,3452
25.0,6921,3361.0,3560
26.0,6977,3409.0,3568
27.0,7095,3421.0,3674
28.0,7268,3526.0,3742
29.0,7369,3518.0,3851
30.0,7271,3541.0,3730
31.0,7297,3548.0,3749
32.0,7151,3480.0,3671
33.0,7149,3528.0,3621
34.0,6883,3311.0,3572
35.0,6970,3406.0,3564
36.0,7011,3430.0,3581
37.0,7144,3561.0,3583
38.0,7000,3556.0,3444
39.0,6998,3319.0,3679
40.0,7041,3465.0,3576
41.0,7109,3422.0,3687
42.0,7262,3581.0,3681
43.0,7405,3558.0,3847
44.0,7597,3660.0,3937
45.0,7765,3733.0,4032
46.0,8013,3864.0,4149
47.0,8252,3974.0,4278
48.0,8234,3987.0,4247
49.0,8312,4005.0,4307
50.0,8094,3787.0,4307
51.0,8069,3906.0,4163
52.0,8116,3906.0,4210
53.0,8120,3929.0,4191
54.0,8081,3945.0,4136
55.0,8057,4003.0,4054
56.0,8168,4110.0,4058
57.0,7577,3836.0,3741
58.0,7309,3662.0,3647
59.0,6988,3510.0,3478
60.0,6808,3542.0,3266
61.0,6416,3317.0,3099
62.0,6119,3176.0,2943
63.0,5673,2928.0,2745
64.0,5513,2860.0,2653
65.0,5335,2757.0,2578
66.0,5024,2563.0,2461
67.0,4455,2318.0,2137
68.0,4269,2178.0,2091
69.0,4205,2201.0,2004
70.0,4153,2148.0,2005
71.0,4057,2049.0,2008
72.0,4142,2075.0,2067
73.0,3854,1928.0,1926
74.0,3943,1933.0,2010
75.0,3253,1604.0,1649
76.0,2601,1299.0,1302
77.0,2715,1329.0,1386
78.0,2546,1158.0,1388
79.0,2441,1127.0,1314
80.0,2340,1057.0,1283
81.0,2295,1001.0,1294
82.0,2077,937.0,1140
83.0,1843,781.0,1062
84.0,1630,613.0,1017
85.0,1579,582.0,997
86.0,1306,485.0,821
87.0,1234,454.0,780
88.0,1151,396.0,755
89.0,943,335.0,608
90.0,819,249.0,570
91.0,677,195.0,482
92.0,516,156.0,360
93.0,408,109.0,299
94.0,300,68.0,232
95.0,232,49.0,183
96.0,145,36.0,109
97.0,112,28.0,84
98.0,64,22.0,42
99.0,54,11.0,43
100.0,21,3.0,18
101.0,14,3.0,11
102.0,7,3.0,4
103.0,6,0.0,6
104.0,0,0.0,0
105.0,2,1.0,1
106.0,2,,2
