date,all,male,female
0,666,371.0,295
1,170,105.0,65
2,89,59.0,30
3,77,43.0,34
4,55,29.0,26
5,48,28.0,20
6,45,27.0,18
7,46,30.0,16
8,53,28.0,25
9,46,20.0,26
10,45,29.0,16
11,57,28.0,29
12,48,20.0,28
13,61,39.0,22
14,38,24.0,14
15,58,29.0,29
16,48,26.0,22
17,63,24.0,39
18,74,39.0,35
19,74,38.0,36
20,75,33.0,42
21,91,42.0,49
22,104,38.0,66
23,118,45.0,73
24,137,59.0,78
25,148,55.0,93
26,170,57.0,113
27,164,63.0,101
28,184,50.0,134
29,193,67.0,126
30,205,60.0,145
31,235,78.0,157
32,198,69.0,129
33,199,70.0,129
34,205,86.0,119
35,191,67.0,124
36,201,77.0,124
37,183,74.0,109
38,179,85.0,94
39,188,90.0,98
40,178,99.0,79
41,182,97.0,85
42,192,110.0,82
43,196,103.0,93
44,207,130.0,77
45,251,156.0,95
46,259,161.0,98
47,298,174.0,124
48,298,182.0,116
49,321,187.0,134
50,326,206.0,120
51,328,208.0,120
52,358,205.0,153
53,382,220.0,162
54,391,249.0,142
55,449,294.0,155
56,447,292.0,155
57,479,313.0,166
58,491,315.0,176
59,491,302.0,189
60,529,345.0,184
61,522,320.0,202
62,512,338.0,174
63,515,326.0,189
64,545,354.0,191
65,558,374.0,184
66,582,385.0,197
67,569,370.0,199
68,530,330.0,200
69,574,358.0,216
70,579,361.0,218
71,627,409.0,218
72,665,413.0,252
73,699,440.0,259
74,728,451.0,277
75,722,433.0,289
76,599,370.0,229
77,575,338.0,237
78,619,359.0,260
79,613,345.0,268
80,551,293.0,258
81,636,336.0,300
82,571,310.0,261
83,575,306.0,269
84,457,230.0,227
85,482,209.0,273
86,446,212.0,234
87,403,177.0,226
88,370,178.0,192
89,318,138.0,180
90,251,128.0,123
91,165,73.0,92
92,179,81.0,98
93,116,42.0,74
94,89,26.0,63
95,52,16.0,36
96,40,14.0,26
97,25,13.0,12
98,14,3.0,11
99,18,5.0,13
100,8,2.0,6
101,3,,3
102,1,,1
