date,all,male,female
0.0,2047,1120.0,927
1.0,2498,1239.0,1259
2.0,2609,1351.0,1258
3.0,2891,1551.0,1340
4.0,3167,1663.0,1504
5.0,3650,1929.0,1721
6.0,3972,2036.0,1936
7.0,4416,2314.0,2102
8.0,4984,2565.0,2419
9.0,5575,2852.0,2723
10.0,5845,3107.0,2738
11.0,5862,3061.0,2801
12.0,5262,2802.0,2460
13.0,5292,2784.0,2508
14.0,4646,2480.0,2166
15.0,4686,2405.0,2281
16.0,5184,2680.0,2504
17.0,5598,2998.0,2600
18.0,5808,3125.0,2683
19.0,5825,3132.0,2693
20.0,5921,3176.0,2745
21.0,5881,3185.0,2696
22.0,5661,3040.0,2621
23.0,5735,3029.0,2706
24.0,5620,2901.0,2719
25.0,5569,2893.0,2676
26.0,5707,2929.0,2778
27.0,5638,2906.0,2732
28.0,5588,2849.0,2739
29.0,5839,2951.0,2888
30.0,5688,2923.0,2765
31.0,5702,2905.0,2797
32.0,5677,2861.0,2816
33.0,5626,2703.0,2923
34.0,5539,2708.0,2831
35.0,5720,2732.0,2988
36.0,5793,2746.0,3047
37.0,5971,2833.0,3138
38.0,6001,2867.0,3134
39.0,6333,2959.0,3374
40.0,6446,3069.0,3377
41.0,6665,3184.0,3481
42.0,6901,3333.0,3568
43.0,7283,3499.0,3784
44.0,7709,3632.0,4077
45.0,8077,3880.0,4197
46.0,8378,4047.0,4331
47.0,8608,4035.0,4573
48.0,8602,4184.0,4418
49.0,8271,3984.0,4287
50.0,8123,3894.0,4229
51.0,8304,4111.0,4193
52.0,8055,3943.0,4112
53.0,7849,3880.0,3969
54.0,7656,3773.0,3883
55.0,7624,3867.0,3757
56.0,7486,3770.0,3716
57.0,7225,3652.0,3573
58.0,6699,3429.0,3270
59.0,6368,3170.0,3198
60.0,6011,3009.0,3002
61.0,5556,2841.0,2715
62.0,5056,2534.0,2522
63.0,4974,2522.0,2452
64.0,4709,2389.0,2320
65.0,4290,2187.0,2103
66.0,4018,1996.0,2022
67.0,3844,1944.0,1900
68.0,3614,1847.0,1767
69.0,3644,1871.0,1773
70.0,3671,1856.0,1815
71.0,3809,1931.0,1878
72.0,3882,1948.0,1934
73.0,3926,2054.0,1872
74.0,3772,1869.0,1903
75.0,3031,1550.0,1481
76.0,3028,1507.0,1521
77.0,3110,1549.0,1561
78.0,3015,1489.0,1526
79.0,2963,1496.0,1467
80.0,3139,1491.0,1648
81.0,3095,1452.0,1643
82.0,3148,1442.0,1706
83.0,2941,1274.0,1667
84.0,2640,1141.0,1499
85.0,2611,1033.0,1578
86.0,2563,986.0,1577
87.0,2345,912.0,1433
88.0,2170,773.0,1397
89.0,2037,692.0,1345
90.0,1965,610.0,1355
91.0,1724,502.0,1222
92.0,1560,446.0,1114
93.0,1369,317.0,1052
94.0,1054,226.0,828
95.0,849,167.0,682
96.0,687,165.0,522
97.0,518,91.0,427
98.0,336,64.0,272
99.0,257,47.0,210
100.0,130,14.0,116
101.0,81,16.0,65
102.0,34,5.0,29
103.0,22,1.0,21
104.0,5,1.0,4
105.0,3,0.0,3
106.0,9,1.0,8
107.0,8,1.0,7
108.0,2,,2
