date,all,male,female
0.0,2,2.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,0.0,1
12.0,2,0.0,2
13.0,0,0.0,0
14.0,1,1.0,0
15.0,1,1.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,3,3.0,0
21.0,2,0.0,2
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,1,1.0,0
26.0,1,1.0,0
27.0,1,1.0,0
28.0,1,1.0,0
29.0,3,2.0,1
30.0,0,0.0,0
31.0,3,1.0,2
32.0,3,2.0,1
33.0,1,0.0,1
34.0,1,1.0,0
35.0,3,2.0,1
36.0,3,2.0,1
37.0,3,2.0,1
38.0,5,4.0,1
39.0,5,5.0,0
40.0,6,5.0,1
41.0,6,5.0,1
42.0,5,3.0,2
43.0,9,8.0,1
44.0,12,9.0,3
45.0,13,8.0,5
46.0,16,9.0,7
47.0,18,13.0,5
48.0,21,18.0,3
49.0,18,16.0,2
50.0,30,19.0,11
51.0,27,17.0,10
52.0,32,18.0,14
53.0,40,26.0,14
54.0,55,39.0,16
55.0,36,29.0,7
56.0,59,43.0,16
57.0,65,45.0,20
58.0,66,49.0,17
59.0,88,59.0,29
60.0,88,64.0,24
61.0,100,75.0,25
62.0,98,67.0,31
63.0,124,95.0,29
64.0,131,99.0,32
65.0,121,80.0,41
66.0,161,119.0,42
67.0,145,103.0,42
68.0,180,115.0,65
69.0,184,124.0,60
70.0,226,159.0,67
71.0,295,219.0,76
72.0,314,214.0,100
73.0,325,229.0,96
74.0,363,250.0,113
75.0,323,223.0,100
76.0,390,250.0,140
77.0,453,278.0,175
78.0,501,332.0,169
79.0,545,356.0,189
80.0,548,349.0,199
81.0,603,377.0,226
82.0,699,412.0,287
83.0,713,403.0,310
84.0,744,410.0,334
85.0,760,394.0,366
86.0,790,413.0,377
87.0,788,399.0,389
88.0,816,392.0,424
89.0,717,326.0,391
90.0,733,314.0,419
91.0,689,279.0,410
92.0,607,244.0,363
93.0,555,186.0,369
94.0,474,162.0,312
95.0,402,129.0,273
96.0,314,110.0,204
97.0,232,62.0,170
98.0,159,45.0,114
99.0,131,30.0,101
100.0,68,6.0,62
101.0,42,14.0,28
102.0,17,5.0,12
103.0,8,0.0,8
104.0,2,0.0,2
105.0,2,0.0,2
106.0,5,2.0,3
107.0,5,1.0,4
108.0,1,,1
109.0,1,,1
