date,all,male,female
0.0,516,291.0,225
1.0,122,71.0,51
2.0,77,33.0,44
3.0,68,47.0,21
4.0,47,27.0,20
5.0,44,27.0,17
6.0,47,28.0,19
7.0,40,26.0,14
8.0,42,25.0,17
9.0,55,34.0,21
10.0,42,26.0,16
11.0,58,36.0,22
12.0,68,43.0,25
13.0,65,38.0,27
14.0,48,35.0,13
15.0,49,27.0,22
16.0,68,31.0,37
17.0,70,33.0,37
18.0,72,41.0,31
19.0,80,39.0,41
20.0,99,50.0,49
21.0,96,48.0,48
22.0,148,59.0,89
23.0,149,62.0,87
24.0,154,51.0,103
25.0,179,58.0,121
26.0,175,79.0,96
27.0,220,71.0,149
28.0,206,73.0,133
29.0,262,81.0,181
30.0,235,73.0,162
31.0,293,88.0,205
32.0,265,88.0,177
33.0,283,94.0,189
34.0,307,120.0,187
35.0,320,128.0,192
36.0,340,141.0,199
37.0,307,145.0,162
38.0,301,134.0,167
39.0,359,172.0,187
40.0,374,187.0,187
41.0,383,220.0,163
42.0,349,208.0,141
43.0,427,255.0,172
44.0,490,311.0,179
45.0,523,320.0,203
46.0,590,353.0,237
47.0,609,395.0,214
48.0,633,424.0,209
49.0,756,488.0,268
50.0,728,475.0,253
51.0,762,500.0,262
52.0,833,525.0,308
53.0,859,563.0,296
54.0,880,563.0,317
55.0,965,620.0,345
56.0,1016,669.0,347
57.0,1063,658.0,405
58.0,1055,669.0,386
59.0,1066,671.0,395
60.0,1133,702.0,431
61.0,1140,738.0,402
62.0,1100,687.0,413
63.0,1180,740.0,440
64.0,1178,752.0,426
65.0,1138,709.0,429
66.0,1163,721.0,442
67.0,1128,689.0,439
68.0,1123,680.0,443
69.0,1272,792.0,480
70.0,1307,794.0,513
71.0,1456,888.0,568
72.0,1534,906.0,628
73.0,1638,972.0,666
74.0,1695,966.0,729
75.0,1556,876.0,680
76.0,1530,870.0,660
77.0,1697,983.0,714
78.0,1670,955.0,715
79.0,1831,1065.0,766
80.0,1792,965.0,827
81.0,1909,1056.0,853
82.0,2050,1092.0,958
83.0,1980,998.0,982
84.0,1870,886.0,984
85.0,1861,865.0,996
86.0,1819,803.0,1016
87.0,1742,804.0,938
88.0,1687,734.0,953
89.0,1540,640.0,900
90.0,1338,539.0,799
91.0,1301,484.0,817
92.0,1087,414.0,673
93.0,906,309.0,597
94.0,727,231.0,496
95.0,583,174.0,409
96.0,444,150.0,294
97.0,314,65.0,249
98.0,194,55.0,139
99.0,134,32.0,102
100.0,74,12.0,62
101.0,55,17.0,38
102.0,21,6.0,15
103.0,8,1.0,7
104.0,4,1.0,3
105.0,1,0.0,1
106.0,1,1.0,0
107.0,3,1.0,2
108.0,1,,1
109.0,1,,1
