date,all,male,female
0.0,5,3.0,2
1.0,1,1.0,0
2.0,0,0.0,0
3.0,3,2.0,1
4.0,0,0.0,0
5.0,2,0.0,2
6.0,2,0.0,2
7.0,2,2.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,2,0.0,2
11.0,3,2.0,1
12.0,1,0.0,1
13.0,3,2.0,1
14.0,1,1.0,0
15.0,3,1.0,2
16.0,0,0.0,0
17.0,2,1.0,1
18.0,4,2.0,2
19.0,2,2.0,0
20.0,6,4.0,2
21.0,5,2.0,3
22.0,7,4.0,3
23.0,3,2.0,1
24.0,4,3.0,1
25.0,8,7.0,1
26.0,9,5.0,4
27.0,9,4.0,5
28.0,12,6.0,6
29.0,16,11.0,5
30.0,11,4.0,7
31.0,17,11.0,6
32.0,24,13.0,11
33.0,23,15.0,8
34.0,26,13.0,13
35.0,25,19.0,6
36.0,29,15.0,14
37.0,40,24.0,16
38.0,45,32.0,13
39.0,53,38.0,15
40.0,59,46.0,13
41.0,56,42.0,14
42.0,78,51.0,27
43.0,98,66.0,32
44.0,85,57.0,28
45.0,118,73.0,45
46.0,161,114.0,47
47.0,151,94.0,57
48.0,213,158.0,55
49.0,205,148.0,57
50.0,267,179.0,88
51.0,320,222.0,98
52.0,311,208.0,103
53.0,370,271.0,99
54.0,451,323.0,128
55.0,483,356.0,127
56.0,571,408.0,163
57.0,612,437.0,175
58.0,686,489.0,197
59.0,744,553.0,191
60.0,847,595.0,252
61.0,988,743.0,245
62.0,1053,776.0,277
63.0,1173,863.0,310
64.0,1264,916.0,348
65.0,1404,1035.0,369
66.0,1521,1104.0,417
67.0,1662,1192.0,470
68.0,1769,1263.0,506
69.0,2038,1419.0,619
70.0,2256,1635.0,621
71.0,2631,1853.0,778
72.0,2949,2073.0,876
73.0,3266,2261.0,1005
74.0,3345,2222.0,1123
75.0,3070,2098.0,972
76.0,3443,2341.0,1102
77.0,3714,2445.0,1269
78.0,4022,2608.0,1414
79.0,4377,2786.0,1591
80.0,4873,3101.0,1772
81.0,5030,3066.0,1964
82.0,5412,3191.0,2221
83.0,5354,3067.0,2287
84.0,5426,2988.0,2438
85.0,5465,2871.0,2594
86.0,5574,2889.0,2685
87.0,5412,2705.0,2707
88.0,5174,2443.0,2731
89.0,5048,2277.0,2771
90.0,4765,2038.0,2727
91.0,4173,1724.0,2449
92.0,3607,1348.0,2259
93.0,3151,1062.0,2089
94.0,2564,810.0,1754
95.0,2049,586.0,1463
96.0,1603,444.0,1159
97.0,1271,334.0,937
98.0,853,195.0,658
99.0,613,132.0,481
100.0,376,66.0,310
101.0,166,36.0,130
102.0,76,8.0,68
103.0,58,5.0,53
104.0,33,5.0,28
105.0,22,3.0,19
106.0,14,3.0,11
107.0,12,1.0,11
108.0,6,2.0,4
109.0,2,,2
