date,all,male,female
0.0,2631,1472.0,1159
1.0,797,453.0,344
2.0,465,279.0,186
3.0,336,193.0,143
4.0,281,152.0,129
5.0,283,151.0,132
6.0,241,140.0,101
7.0,270,165.0,105
8.0,281,152.0,129
9.0,306,164.0,142
10.0,341,184.0,157
11.0,349,193.0,156
12.0,341,193.0,148
13.0,355,200.0,155
14.0,361,192.0,169
15.0,450,226.0,224
16.0,474,237.0,237
17.0,579,301.0,278
18.0,688,352.0,336
19.0,673,331.0,342
20.0,808,398.0,410
21.0,938,449.0,489
22.0,1077,525.0,552
23.0,1170,557.0,613
24.0,1206,540.0,666
25.0,1351,586.0,765
26.0,1473,670.0,803
27.0,1557,652.0,905
28.0,1717,721.0,996
29.0,1788,724.0,1064
30.0,1922,761.0,1161
31.0,1962,821.0,1141
32.0,2186,924.0,1262
33.0,2143,929.0,1214
34.0,2281,1029.0,1252
35.0,2256,1093.0,1163
36.0,2364,1190.0,1174
37.0,2470,1231.0,1239
38.0,2578,1395.0,1183
39.0,2634,1435.0,1199
40.0,2699,1506.0,1193
41.0,2885,1666.0,1219
42.0,2970,1804.0,1166
43.0,3294,1951.0,1343
44.0,3593,2280.0,1313
45.0,3979,2504.0,1475
46.0,4417,2753.0,1664
47.0,4769,2970.0,1799
48.0,5084,3249.0,1835
49.0,5501,3525.0,1976
50.0,5650,3571.0,2079
51.0,6229,3976.0,2253
52.0,6434,4114.0,2320
53.0,6788,4364.0,2424
54.0,7033,4499.0,2534
55.0,7508,4877.0,2631
56.0,7928,5206.0,2722
57.0,7811,5047.0,2764
58.0,7945,5142.0,2803
59.0,8077,5234.0,2843
60.0,8218,5231.0,2987
61.0,8326,5397.0,2929
62.0,8194,5315.0,2879
63.0,8383,5439.0,2944
64.0,8472,5502.0,2970
65.0,8677,5585.0,3092
66.0,8698,5630.0,3068
67.0,8630,5496.0,3134
68.0,8593,5503.0,3090
69.0,9298,5886.0,3412
70.0,9675,6088.0,3587
71.0,10486,6563.0,3923
72.0,10988,6776.0,4212
73.0,11507,7034.0,4473
74.0,11516,6882.0,4634
75.0,10196,6197.0,3999
76.0,10423,6227.0,4196
77.0,10833,6351.0,4482
78.0,10828,6248.0,4580
79.0,11380,6439.0,4941
80.0,11862,6693.0,5169
81.0,11769,6453.0,5316
82.0,11941,6342.0,5599
83.0,11406,5958.0,5448
84.0,10640,5367.0,5273
85.0,10339,4993.0,5346
86.0,10160,4754.0,5406
87.0,9230,4259.0,4971
88.0,8371,3692.0,4679
89.0,7647,3211.0,4436
90.0,6833,2756.0,4077
91.0,5659,2228.0,3431
92.0,4531,1680.0,2851
93.0,3788,1268.0,2520
94.0,3003,920.0,2083
95.0,2176,677.0,1499
96.0,1565,475.0,1090
97.0,1137,317.0,820
98.0,727,181.0,546
99.0,508,118.0,390
100.0,288,79.0,209
101.0,122,28.0,94
102.0,44,4.0,40
103.0,29,5.0,24
104.0,19,7.0,12
105.0,13,3.0,10
106.0,2,1.0,1
107.0,7,1.0,6
108.0,2,1.0,1
109.0,1,,1
