date,all,male,female
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,1,1.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,2,2.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,1,1.0,0
18.0,1,1.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,1,1.0,0
24.0,0,0.0,0
25.0,1,1.0,0
26.0,0,0.0,0
27.0,2,1.0,1
28.0,1,0.0,1
29.0,2,2.0,0
30.0,2,0.0,2
31.0,1,1.0,0
32.0,1,1.0,0
33.0,6,4.0,2
34.0,5,2.0,3
35.0,5,4.0,1
36.0,7,4.0,3
37.0,2,2.0,0
38.0,9,9.0,0
39.0,11,7.0,4
40.0,8,7.0,1
41.0,13,10.0,3
42.0,8,4.0,4
43.0,15,11.0,4
44.0,5,4.0,1
45.0,16,11.0,5
46.0,20,19.0,1
47.0,23,10.0,13
48.0,23,16.0,7
49.0,20,18.0,2
50.0,26,17.0,9
51.0,39,32.0,7
52.0,36,28.0,8
53.0,51,35.0,16
54.0,56,43.0,13
55.0,60,40.0,20
56.0,56,37.0,19
57.0,73,53.0,20
58.0,74,54.0,20
59.0,72,56.0,16
60.0,61,40.0,21
61.0,108,89.0,19
62.0,106,84.0,22
63.0,129,96.0,33
64.0,113,81.0,32
65.0,136,92.0,44
66.0,151,104.0,47
67.0,147,94.0,53
68.0,178,126.0,52
69.0,189,131.0,58
70.0,175,129.0,46
71.0,196,132.0,64
72.0,240,150.0,90
73.0,268,167.0,101
74.0,309,197.0,112
75.0,258,172.0,86
76.0,274,175.0,99
77.0,269,171.0,98
78.0,304,188.0,116
79.0,292,176.0,116
80.0,348,209.0,139
81.0,383,213.0,170
82.0,390,217.0,173
83.0,391,218.0,173
84.0,362,180.0,182
85.0,362,194.0,168
86.0,387,195.0,192
87.0,381,171.0,210
88.0,331,161.0,170
89.0,312,149.0,163
90.0,291,111.0,180
91.0,270,129.0,141
92.0,235,90.0,145
93.0,184,71.0,113
94.0,150,60.0,90
95.0,112,35.0,77
96.0,92,22.0,70
97.0,68,25.0,43
98.0,47,8.0,39
99.0,24,5.0,19
100.0,21,6.0,15
101.0,7,3.0,4
102.0,2,0.0,2
103.0,3,1.0,2
104.0,4,1.0,3
105.0,1,,1
106.0,0,,0
107.0,1,,1
