date,all,male,female
0.0,503,291.0,212
1.0,144,67.0,77
2.0,89,59.0,30
3.0,61,27.0,34
4.0,52,26.0,26
5.0,60,35.0,25
6.0,39,24.0,15
7.0,46,27.0,19
8.0,52,34.0,18
9.0,52,24.0,28
10.0,51,24.0,27
11.0,56,31.0,25
12.0,41,21.0,20
13.0,68,30.0,38
14.0,68,32.0,36
15.0,77,40.0,37
16.0,80,40.0,40
17.0,63,25.0,38
18.0,81,46.0,35
19.0,65,34.0,31
20.0,90,48.0,42
21.0,93,46.0,47
22.0,109,67.0,42
23.0,137,71.0,66
24.0,141,73.0,68
25.0,159,85.0,74
26.0,172,80.0,92
27.0,172,77.0,95
28.0,176,72.0,104
29.0,192,90.0,102
30.0,204,76.0,128
31.0,229,100.0,129
32.0,283,122.0,161
33.0,266,124.0,142
34.0,241,113.0,128
35.0,272,151.0,121
36.0,261,133.0,128
37.0,306,168.0,138
38.0,340,186.0,154
39.0,313,173.0,140
40.0,301,194.0,107
41.0,333,209.0,124
42.0,360,239.0,121
43.0,376,232.0,144
44.0,386,257.0,129
45.0,411,276.0,135
46.0,484,308.0,176
47.0,508,317.0,191
48.0,511,329.0,182
49.0,536,340.0,196
50.0,540,344.0,196
51.0,632,401.0,231
52.0,595,389.0,206
53.0,677,457.0,220
54.0,641,426.0,215
55.0,701,473.0,228
56.0,699,462.0,237
57.0,696,461.0,235
58.0,698,461.0,237
59.0,712,482.0,230
60.0,698,428.0,270
61.0,709,480.0,229
62.0,662,421.0,241
63.0,715,469.0,246
64.0,713,458.0,255
65.0,744,484.0,260
66.0,799,521.0,278
67.0,706,418.0,288
68.0,772,483.0,289
69.0,754,479.0,275
70.0,748,455.0,293
71.0,786,481.0,305
72.0,882,513.0,369
73.0,928,540.0,388
74.0,968,569.0,399
75.0,785,486.0,299
76.0,785,462.0,323
77.0,842,478.0,364
78.0,900,494.0,406
79.0,830,445.0,385
80.0,905,507.0,398
81.0,1000,521.0,479
82.0,916,469.0,447
83.0,896,445.0,451
84.0,855,401.0,454
85.0,847,410.0,437
86.0,831,378.0,453
87.0,796,324.0,472
88.0,652,277.0,375
89.0,597,251.0,346
90.0,552,210.0,342
91.0,454,194.0,260
92.0,393,135.0,258
93.0,317,104.0,213
94.0,229,88.0,141
95.0,180,61.0,119
96.0,153,36.0,117
97.0,90,25.0,65
98.0,65,16.0,49
99.0,33,9.0,24
100.0,25,7.0,18
101.0,11,4.0,7
102.0,0,0.0,0
103.0,3,1.0,2
104.0,6,5.0,1
105.0,1,,1
106.0,0,,0
107.0,2,,2
