date,all,male,female
0.0,1865,973.0,892
1.0,2352,1195.0,1157
2.0,2444,1261.0,1183
3.0,3044,1567.0,1477
4.0,3403,1789.0,1614
5.0,4044,2094.0,1950
6.0,4456,2297.0,2159
7.0,5126,2727.0,2399
8.0,5327,2780.0,2547
9.0,6030,3107.0,2923
10.0,6022,3138.0,2884
11.0,6284,3226.0,3058
12.0,5667,2857.0,2810
13.0,5600,2833.0,2767
14.0,5168,2633.0,2535
15.0,5503,2705.0,2798
16.0,5549,2753.0,2796
17.0,5511,2719.0,2792
18.0,5536,2775.0,2761
19.0,4617,2299.0,2318
20.0,4654,2285.0,2369
21.0,4688,2329.0,2359
22.0,4594,2419.0,2175
23.0,4657,2343.0,2314
24.0,4638,2356.0,2282
25.0,4805,2429.0,2376
26.0,4802,2390.0,2412
27.0,5035,2506.0,2529
28.0,5166,2510.0,2656
29.0,5180,2532.0,2648
30.0,5361,2525.0,2836
31.0,5367,2586.0,2781
32.0,5334,2435.0,2899
33.0,5375,2506.0,2869
34.0,5413,2550.0,2863
35.0,5433,2502.0,2931
36.0,5645,2585.0,3060
37.0,5597,2540.0,3057
38.0,5794,2710.0,3084
39.0,5904,2725.0,3179
40.0,5967,2691.0,3276
41.0,6026,2675.0,3351
42.0,6342,2790.0,3552
43.0,6615,2934.0,3681
44.0,6930,3110.0,3820
45.0,7330,3306.0,4024
46.0,7690,3483.0,4207
47.0,8046,3708.0,4338
48.0,8210,3742.0,4468
49.0,8307,3826.0,4481
50.0,8117,3824.0,4293
51.0,8060,3736.0,4324
52.0,8029,3856.0,4173
53.0,7616,3579.0,4037
54.0,7580,3577.0,4003
55.0,7409,3490.0,3919
56.0,7544,3637.0,3907
57.0,7065,3446.0,3619
58.0,6337,2992.0,3345
59.0,6131,2925.0,3206
60.0,5582,2664.0,2918
61.0,5459,2675.0,2784
62.0,4895,2401.0,2494
63.0,4615,2281.0,2334
64.0,4190,2039.0,2151
65.0,4188,2097.0,2091
66.0,3678,1767.0,1911
67.0,3664,1762.0,1902
68.0,3395,1679.0,1716
69.0,3228,1572.0,1656
70.0,3178,1517.0,1661
71.0,3256,1573.0,1683
72.0,3260,1604.0,1656
73.0,3350,1648.0,1702
74.0,3363,1604.0,1759
75.0,3142,1524.0,1618
76.0,2604,1231.0,1373
77.0,2691,1345.0,1346
78.0,2659,1232.0,1427
79.0,2671,1286.0,1385
80.0,2670,1200.0,1470
81.0,2727,1290.0,1437
82.0,2686,1207.0,1479
83.0,2534,1096.0,1438
84.0,2384,991.0,1393
85.0,2142,895.0,1247
86.0,2100,862.0,1238
87.0,1932,722.0,1210
88.0,1811,652.0,1159
89.0,1691,545.0,1146
90.0,1546,529.0,1017
91.0,1345,416.0,929
92.0,1139,332.0,807
93.0,938,246.0,692
94.0,726,183.0,543
95.0,609,142.0,467
96.0,431,98.0,333
97.0,340,76.0,264
98.0,224,37.0,187
99.0,169,26.0,143
100.0,99,18.0,81
101.0,53,6.0,47
102.0,35,2.0,33
103.0,15,0.0,15
104.0,11,0.0,11
105.0,5,0.0,5
106.0,5,0.0,5
107.0,5,0.0,5
108.0,5,2.0,3
109.0,2,,2
