date,all,male,female
0,18350,9734.0,8616
1,20636,10828.0,9808
2,20351,10557.0,9794
3,23508,12117.0,11391
4,26631,13819.0,12812
5,28942,14885.0,14057
6,33228,17253.0,15975
7,37015,18987.0,18028
8,39696,20563.0,19133
9,42125,21844.0,20281
10,45314,23513.0,21801
11,44829,23514.0,21315
12,38242,19757.0,18485
13,37127,18832.0,18295
14,34676,17253.0,17423
15,36839,17980.0,18859
16,38047,18527.0,19520
17,38814,18769.0,20045
18,38500,18627.0,19873
19,35597,17560.0,18037
20,36954,18278.0,18676
21,38045,18614.0,19431
22,38987,19066.0,19921
23,39904,19212.0,20692
24,41319,19808.0,21511
25,43089,20440.0,22649
26,43907,20761.0,23146
27,45208,21236.0,23972
28,46628,21856.0,24772
29,47804,22385.0,25419
30,47443,21934.0,25509
31,48562,22599.0,25963
32,48883,22736.0,26147
33,48816,22707.0,26109
34,48240,22391.0,25849
35,48195,22134.0,26061
36,49132,22534.0,26598
37,49928,22879.0,27049
38,50766,23189.0,27577
39,52210,23916.0,28294
40,52495,23766.0,28729
41,52665,23932.0,28733
42,53510,24390.0,29120
43,55972,25528.0,30444
44,57480,26385.0,31095
45,59785,27550.0,32235
46,62475,28670.0,33805
47,63547,29559.0,33988
48,63615,29328.0,34287
49,62803,29353.0,33450
50,61526,28722.0,32804
51,60048,28076.0,31972
52,60008,28084.0,31924
53,58266,27225.0,31041
54,57597,27113.0,30484
55,57362,27158.0,30204
56,55808,26435.0,29373
57,53292,25014.0,28278
58,49260,23256.0,26004
59,45248,21340.0,23908
60,42239,20052.0,22187
61,40040,19035.0,21005
62,36808,17634.0,19174
63,34008,16151.0,17857
64,32572,15560.0,17012
65,30841,14736.0,16105
66,29614,14276.0,15338
67,28060,13451.0,14609
68,26772,12910.0,13862
69,26597,12833.0,13764
70,26610,12862.0,13748
71,26639,12956.0,13683
72,27174,13267.0,13907
73,27259,13347.0,13912
74,26403,12954.0,13449
75,24989,12225.0,12764
76,21260,10391.0,10869
77,20357,9901.0,10456
78,20152,9871.0,10281
79,20190,9591.0,10599
80,19502,9251.0,10251
81,20107,9394.0,10713
82,19118,8844.0,10274
83,17658,8008.0,9650
84,15906,7075.0,8831
85,14072,5896.0,8176
86,13303,5332.0,7971
87,11999,4572.0,7427
88,10742,3795.0,6947
89,9829,3387.0,6442
90,8741,2778.0,5963
91,7637,2185.0,5452
92,6272,1715.0,4557
93,5029,1260.0,3769
94,4243,928.0,3315
95,3153,612.0,2541
96,2307,427.0,1880
97,1732,280.0,1452
98,1309,196.0,1113
99,814,120.0,694
100,754,190.0,564
101,335,62.0,273
102,147,13.0,134
103,71,4.0,67
104,36,0.0,36
105,35,3.0,32
106,20,1.0,19
107,14,,14
108,4,,4
109,2,,2
