date,all,male,female
0.0,1096,612.0,484
1.0,384,219.0,165
2.0,213,120.0,93
3.0,160,99.0,61
4.0,138,73.0,65
5.0,107,55.0,52
6.0,115,68.0,47
7.0,119,60.0,59
8.0,136,69.0,67
9.0,125,71.0,54
10.0,152,87.0,65
11.0,156,76.0,80
12.0,136,79.0,57
13.0,140,82.0,58
14.0,160,84.0,76
15.0,196,88.0,108
16.0,222,107.0,115
17.0,269,137.0,132
18.0,296,146.0,150
19.0,315,144.0,171
20.0,355,173.0,182
21.0,393,185.0,208
22.0,433,193.0,240
23.0,462,212.0,250
24.0,518,221.0,297
25.0,582,222.0,360
26.0,599,263.0,336
27.0,670,259.0,411
28.0,721,295.0,426
29.0,761,290.0,471
30.0,771,269.0,502
31.0,789,304.0,485
32.0,934,338.0,596
33.0,865,360.0,505
34.0,945,391.0,554
35.0,953,396.0,557
36.0,958,443.0,515
37.0,958,436.0,522
38.0,1022,518.0,504
39.0,1027,510.0,517
40.0,993,484.0,509
41.0,1079,567.0,512
42.0,1099,612.0,487
43.0,1205,687.0,518
44.0,1315,796.0,519
45.0,1383,837.0,546
46.0,1560,910.0,650
47.0,1719,1031.0,688
48.0,1814,1123.0,691
49.0,1887,1178.0,709
50.0,1893,1129.0,764
51.0,2137,1317.0,820
52.0,2195,1364.0,831
53.0,2329,1468.0,861
54.0,2384,1489.0,895
55.0,2490,1595.0,895
56.0,2595,1682.0,913
57.0,2533,1646.0,887
58.0,2607,1667.0,940
59.0,2632,1733.0,899
60.0,2545,1644.0,901
61.0,2572,1654.0,918
62.0,2603,1692.0,911
63.0,2514,1653.0,861
64.0,2680,1713.0,967
65.0,2695,1733.0,962
66.0,2731,1783.0,948
67.0,2678,1702.0,976
68.0,2667,1717.0,950
69.0,2943,1847.0,1096
70.0,3030,1923.0,1107
71.0,3375,2133.0,1242
72.0,3461,2142.0,1319
73.0,3630,2238.0,1392
74.0,3447,2124.0,1323
75.0,3222,1990.0,1232
76.0,3258,1940.0,1318
77.0,3448,2048.0,1400
78.0,3365,2011.0,1354
79.0,3712,2083.0,1629
80.0,3910,2264.0,1646
81.0,3733,2086.0,1647
82.0,3790,2069.0,1721
83.0,3531,1892.0,1639
84.0,3330,1767.0,1563
85.0,3119,1554.0,1565
86.0,2949,1422.0,1527
87.0,2670,1231.0,1439
88.0,2487,1098.0,1389
89.0,2146,910.0,1236
90.0,1826,724.0,1102
91.0,1569,618.0,951
92.0,1210,457.0,753
93.0,935,314.0,621
94.0,788,224.0,564
95.0,535,145.0,390
96.0,368,96.0,272
97.0,288,67.0,221
98.0,163,44.0,119
99.0,125,27.0,98
100.0,100,43.0,57
101.0,25,5.0,20
102.0,11,1.0,10
103.0,5,,5
104.0,2,,2
105.0,2,,2
106.0,0,,0
107.0,0,,0
108.0,0,,0
109.0,1,,1
