date,all,male,female
0.0,12,7.0,5
1.0,3,3.0,0
2.0,2,1.0,1
3.0,2,2.0,0
4.0,1,1.0,0
5.0,0,0.0,0
6.0,3,1.0,2
7.0,1,0.0,1
8.0,2,1.0,1
9.0,1,0.0,1
10.0,2,2.0,0
11.0,3,3.0,0
12.0,5,3.0,2
13.0,6,5.0,1
14.0,12,8.0,4
15.0,4,2.0,2
16.0,4,3.0,1
17.0,7,6.0,1
18.0,5,5.0,0
19.0,6,4.0,2
20.0,4,3.0,1
21.0,5,4.0,1
22.0,5,0.0,5
23.0,9,4.0,5
24.0,8,4.0,4
25.0,10,8.0,2
26.0,9,6.0,3
27.0,11,3.0,8
28.0,9,6.0,3
29.0,14,7.0,7
30.0,14,8.0,6
31.0,18,10.0,8
32.0,19,12.0,7
33.0,24,16.0,8
34.0,27,19.0,8
35.0,29,19.0,10
36.0,33,22.0,11
37.0,34,23.0,11
38.0,37,26.0,11
39.0,37,21.0,16
40.0,42,32.0,10
41.0,41,32.0,9
42.0,42,29.0,13
43.0,63,43.0,20
44.0,67,51.0,16
45.0,81,61.0,20
46.0,99,71.0,28
47.0,107,77.0,30
48.0,129,102.0,27
49.0,148,112.0,36
50.0,150,113.0,37
51.0,160,128.0,32
52.0,173,127.0,46
53.0,204,155.0,49
54.0,233,181.0,52
55.0,240,182.0,58
56.0,277,218.0,59
57.0,252,202.0,50
58.0,289,229.0,60
59.0,313,245.0,68
60.0,270,212.0,58
61.0,344,253.0,91
62.0,353,277.0,76
63.0,350,246.0,104
64.0,373,281.0,92
65.0,404,310.0,94
66.0,380,292.0,88
67.0,386,280.0,106
68.0,405,302.0,103
69.0,418,294.0,124
70.0,406,296.0,110
71.0,414,295.0,119
72.0,414,298.0,116
73.0,423,306.0,117
74.0,396,286.0,110
75.0,309,228.0,81
76.0,246,167.0,79
77.0,202,142.0,60
78.0,188,129.0,59
79.0,157,110.0,47
80.0,113,74.0,39
81.0,71,42.0,29
82.0,72,48.0,24
83.0,36,23.0,13
84.0,46,33.0,13
85.0,25,14.0,11
86.0,15,7.0,8
87.0,10,4.0,6
88.0,11,5.0,6
89.0,4,1.0,3
90.0,9,3.0,6
91.0,3,1.0,2
92.0,4,1.0,3
93.0,0,,0
94.0,1,,1
95.0,1,,1
96.0,1,,1
