date,all,male,female
0,1647,762.0,885
1,2713,1294.0,1419
2,2861,1425.0,1436
3,3657,1872.0,1785
4,4233,2144.0,2089
5,5010,2575.0,2435
6,5795,2915.0,2880
7,6571,3307.0,3264
8,6853,3599.0,3254
9,7372,3800.0,3572
10,7893,3995.0,3898
11,7957,4034.0,3923
12,7359,3847.0,3512
13,7061,3545.0,3516
14,6534,3351.0,3183
15,6661,3289.0,3372
16,6705,3253.0,3452
17,6588,3264.0,3324
18,6190,2984.0,3206
19,5538,2788.0,2750
20,5497,2743.0,2754
21,5637,2723.0,2914
22,5664,2839.0,2825
23,5849,2879.0,2970
24,5896,2910.0,2986
25,5850,2758.0,3092
26,5999,2847.0,3152
27,5932,2812.0,3120
28,6144,2922.0,3222
29,6442,3136.0,3306
30,6564,3088.0,3476
31,6716,3136.0,3580
32,6791,3083.0,3708
33,6914,3183.0,3731
34,6868,3080.0,3788
35,7136,3194.0,3942
36,7418,3347.0,4071
37,7733,3502.0,4231
38,7800,3482.0,4318
39,8084,3656.0,4428
40,8157,3674.0,4483
41,8352,3789.0,4563
42,8724,3938.0,4786
43,9100,4112.0,4988
44,9365,4121.0,5244
45,9587,4424.0,5163
46,9730,4391.0,5339
47,10056,4663.0,5393
48,9709,4458.0,5251
49,9758,4534.0,5224
50,9617,4479.0,5138
51,9541,4470.0,5071
52,10025,4569.0,5456
53,9198,4238.0,4960
54,9011,4211.0,4800
55,9062,4290.0,4772
56,8676,4099.0,4577
57,8709,4144.0,4565
58,8086,3763.0,4323
59,7632,3616.0,4016
60,7466,3509.0,3957
61,6939,3278.0,3661
62,6800,3145.0,3655
63,6225,2921.0,3304
64,5953,2816.0,3137
65,5775,2676.0,3099
66,5636,2570.0,3066
67,5309,2537.0,2772
68,4840,2335.0,2505
69,4932,2328.0,2604
70,4998,2356.0,2642
71,5028,2388.0,2640
72,4684,2188.0,2496
73,4663,2199.0,2464
74,4529,2192.0,2337
75,4433,2123.0,2310
76,3841,1925.0,1916
77,3270,1508.0,1762
78,3370,1591.0,1779
79,3343,1600.0,1743
80,3055,1374.0,1681
81,3255,1423.0,1832
82,3333,1479.0,1854
83,3024,1383.0,1641
84,2796,1239.0,1557
85,2487,1016.0,1471
86,2327,918.0,1409
87,2105,848.0,1257
88,1908,695.0,1213
89,1680,578.0,1102
90,1497,483.0,1014
91,1248,373.0,875
92,1010,282.0,728
93,838,219.0,619
94,674,177.0,497
95,516,119.0,397
96,382,84.0,298
97,288,52.0,236
98,193,36.0,157
99,153,22.0,131
100,84,12.0,72
101,53,11.0,42
102,16,1.0,15
103,13,3.0,10
104,11,1.0,10
105,6,0.0,6
106,4,1.0,3
107,2,,2
