date,all,male,female
0.0,57,35.0,22
1.0,85,42.0,43
2.0,78,37.0,41
3.0,105,50.0,55
4.0,114,48.0,66
5.0,115,65.0,50
6.0,132,66.0,66
7.0,136,85.0,51
8.0,156,79.0,77
9.0,183,88.0,95
10.0,189,101.0,88
11.0,188,101.0,87
12.0,192,111.0,81
13.0,152,87.0,65
14.0,185,95.0,90
15.0,149,76.0,73
16.0,180,102.0,78
17.0,191,102.0,89
18.0,188,97.0,91
19.0,167,105.0,62
20.0,175,82.0,93
21.0,176,104.0,72
22.0,148,86.0,62
23.0,159,93.0,66
24.0,161,68.0,93
25.0,147,86.0,61
26.0,143,86.0,57
27.0,152,74.0,78
28.0,186,110.0,76
29.0,172,84.0,88
30.0,202,109.0,93
31.0,138,69.0,69
32.0,185,89.0,96
33.0,181,91.0,90
34.0,197,95.0,102
35.0,175,77.0,98
36.0,197,103.0,94
37.0,183,92.0,91
38.0,188,86.0,102
39.0,180,78.0,102
40.0,184,89.0,95
41.0,182,90.0,92
42.0,218,97.0,121
43.0,205,98.0,107
44.0,222,92.0,130
45.0,238,103.0,135
46.0,268,132.0,136
47.0,247,132.0,115
48.0,234,109.0,125
49.0,232,114.0,118
50.0,269,136.0,133
51.0,274,132.0,142
52.0,284,131.0,153
53.0,255,140.0,115
54.0,263,126.0,137
55.0,250,131.0,119
56.0,270,125.0,145
57.0,242,128.0,114
58.0,254,129.0,125
59.0,224,117.0,107
60.0,227,124.0,103
61.0,213,102.0,111
62.0,216,93.0,123
63.0,179,73.0,106
64.0,166,82.0,84
65.0,179,94.0,85
66.0,140,66.0,74
67.0,159,85.0,74
68.0,144,80.0,64
69.0,136,73.0,63
70.0,152,86.0,66
71.0,141,81.0,60
72.0,131,68.0,63
73.0,141,76.0,65
74.0,136,73.0,63
75.0,100,44.0,56
76.0,95,61.0,34
77.0,100,51.0,49
78.0,78,41.0,37
79.0,94,39.0,55
80.0,112,62.0,50
81.0,114,55.0,59
82.0,81,33.0,48
83.0,74,30.0,44
84.0,82,35.0,47
85.0,109,51.0,58
86.0,89,31.0,58
87.0,88,27.0,61
88.0,72,21.0,51
89.0,70,15.0,55
90.0,77,18.0,59
91.0,75,19.0,56
92.0,57,17.0,40
93.0,37,12.0,25
94.0,34,10.0,24
95.0,25,7.0,18
96.0,16,4.0,12
97.0,16,8.0,8
98.0,16,5.0,11
99.0,11,4.0,7
100.0,3,,3
101.0,2,,2
102.0,0,,0
103.0,2,,2
104.0,0,,0
105.0,1,,1
106.0,1,,1
