date,all,male,female
0,84,51.0,33
1,23,13.0,10
2,11,6.0,5
3,10,6.0,4
4,8,3.0,5
5,8,7.0,1
6,4,0.0,4
7,8,6.0,2
8,5,3.0,2
9,5,3.0,2
10,4,2.0,2
11,6,3.0,3
12,4,1.0,3
13,10,6.0,4
14,11,5.0,6
15,8,1.0,7
16,8,4.0,4
17,9,4.0,5
18,10,5.0,5
19,11,3.0,8
20,16,9.0,7
21,13,4.0,9
22,22,14.0,8
23,20,3.0,17
24,25,9.0,16
25,22,4.0,18
26,19,5.0,14
27,21,8.0,13
28,19,6.0,13
29,20,6.0,14
30,21,6.0,15
31,33,9.0,24
32,35,9.0,26
33,40,12.0,28
34,31,14.0,17
35,34,16.0,18
36,28,6.0,22
37,21,4.0,17
38,27,12.0,15
39,22,13.0,9
40,29,18.0,11
41,33,19.0,14
42,30,17.0,13
43,19,11.0,8
44,40,21.0,19
45,25,15.0,10
46,38,22.0,16
47,54,31.0,23
48,53,31.0,22
49,60,33.0,27
50,56,40.0,16
51,62,42.0,20
52,57,41.0,16
53,74,47.0,27
54,79,58.0,21
55,74,46.0,28
56,64,38.0,26
57,73,52.0,21
58,95,65.0,30
59,78,47.0,31
60,80,49.0,31
61,88,56.0,32
62,81,53.0,28
63,95,53.0,42
64,85,53.0,32
65,78,55.0,23
66,100,68.0,32
67,75,53.0,22
68,112,56.0,56
69,100,60.0,40
70,103,68.0,35
71,120,76.0,44
72,140,88.0,52
73,132,78.0,54
74,149,86.0,63
75,144,87.0,57
76,140,80.0,60
77,169,90.0,79
78,155,100.0,55
79,189,122.0,67
80,191,99.0,92
81,226,117.0,109
82,216,114.0,102
83,200,109.0,91
84,185,99.0,86
85,173,88.0,85
86,165,89.0,76
87,153,77.0,76
88,153,67.0,86
89,139,69.0,70
90,127,56.0,71
91,101,44.0,57
92,83,29.0,54
93,70,25.0,45
94,69,24.0,45
95,49,20.0,29
96,31,13.0,18
97,30,9.0,21
98,15,7.0,8
99,13,2.0,11
100,4,,4
101,2,,2
102,1,,1
