date,all,male,female
0.0,1971,1054,917
1.0,2087,1076,1011
2.0,2062,1085,977
3.0,2235,1124,1111
4.0,2673,1327,1346
5.0,3085,1590,1495
6.0,3901,2055,1846
7.0,4519,2294,2225
8.0,5119,2582,2537
9.0,5798,3035,2763
10.0,6389,3281,3108
11.0,6652,3442,3210
12.0,5934,3181,2753
13.0,6019,3061,2958
14.0,6026,2974,3052
15.0,6680,3361,3319
16.0,7099,3452,3647
17.0,7777,3918,3859
18.0,8399,4053,4346
19.0,7432,3735,3697
20.0,8041,3951,4090
21.0,8497,4316,4180
22.0,8359,4257,4102
23.0,8549,4318,4230
24.0,8548,4244,4304
25.0,8482,4253,4229
26.0,8688,4315,4372
27.0,8702,4290,4412
28.0,8738,4308,4430
29.0,8678,4234,4443
30.0,8703,4262,4441
31.0,8620,4133,4487
32.0,8598,4215,4381
33.0,8353,3934,4418
34.0,8251,3929,4322
35.0,8331,4010,4321
36.0,8456,3984,4471
37.0,8548,3944,4604
38.0,8860,4112,4748
39.0,9060,4157,4903
40.0,9266,4284,4981
41.0,9422,4292,5130
42.0,9826,4465,5361
43.0,10465,4767,5698
44.0,10696,4948,5748
45.0,11488,5184,6304
46.0,11888,5469,6419
47.0,12070,5572,6498
48.0,12168,5587,6581
49.0,12259,5704,6555
50.0,12188,5623,6565
51.0,11791,5507,6283
52.0,12032,5584,6447
53.0,11674,5429,6245
54.0,11640,5467,6173
55.0,11475,5426,6049
56.0,11194,5346,5848
57.0,10559,5041,5518
58.0,9973,4755,5218
59.0,9321,4460,4861
60.0,8779,4351,4428
61.0,8256,4132,4124
62.0,7446,3760,3686
63.0,7133,3564,3569
64.0,6902,3530,3372
65.0,6428,3245,3183
66.0,6152,3104,3048
67.0,5727,2974,2753
68.0,5600,2883,2716
69.0,5347,2692,2655
70.0,5270,2665,2605
71.0,5477,2850,2627
72.0,5602,2821,2781
73.0,5493,2806,2687
74.0,5322,2711,2611
75.0,4501,2275,2226
76.0,4311,2218,2093
77.0,4354,2175,2179
78.0,4213,2055,2158
79.0,4250,2088,2162
80.0,4255,2002,2253
81.0,4232,2007,2223
82.0,4163,1950,2212
83.0,3869,1699,2170
84.0,3634,1526,2108
85.0,3639,1477,2162
86.0,3389,1253,2135
87.0,3217,1157,2058
88.0,2937,1006,1931
89.0,2868,938,1929
90.0,2574,782,1792
91.0,2117,586,1531
92.0,1812,461,1351
93.0,1540,355,1185
94.0,1150,236,914
95.0,850,161,689
96.0,656,115,541
97.0,521,94,427
98.0,354,53,301
99.0,232,38,194
100.0,143,15,128
101.0,55,7,48
102.0,32,3,29
103.0,29,0,29
104.0,18,3,15
105.0,19,3,16
106.0,6,2,4
107.0,12,4,8
108.0,6,2,4
109.0,9,4,5
110.0,9,4,5
