date,all,male,female
0.0,86,46,40.0
1.0,39,26,13.0
2.0,27,20,7.0
3.0,16,9,7.0
4.0,16,10,6.0
5.0,14,9,5.0
6.0,8,5,3.0
7.0,11,9,2.0
8.0,11,5,6.0
9.0,4,3,1.0
10.0,14,9,5.0
11.0,15,11,4.0
12.0,16,13,3.0
13.0,11,5,6.0
14.0,15,4,11.0
15.0,23,15,8.0
16.0,13,10,3.0
17.0,20,12,8.0
18.0,29,14,15.0
19.0,15,8,7.0
20.0,27,14,13.0
21.0,42,21,21.0
22.0,43,21,22.0
23.0,57,25,32.0
24.0,49,19,30.0
25.0,55,20,35.0
26.0,85,43,42.0
27.0,73,26,47.0
28.0,98,42,56.0
29.0,76,32,44.0
30.0,111,39,72.0
31.0,100,38,62.0
32.0,100,47,53.0
33.0,88,29,59.0
34.0,103,51,52.0
35.0,105,56,49.0
36.0,125,64,61.0
37.0,131,64,67.0
38.0,126,71,55.0
39.0,129,74,55.0
40.0,136,71,65.0
41.0,121,61,60.0
42.0,129,72,57.0
43.0,143,75,68.0
44.0,187,109,78.0
45.0,215,123,92.0
46.0,205,120,85.0
47.0,232,132,100.0
48.0,263,162,101.0
49.0,291,174,117.0
50.0,312,183,129.0
51.0,324,195,129.0
52.0,342,213,129.0
53.0,356,217,139.0
54.0,371,216,155.0
55.0,414,271,143.0
56.0,429,275,154.0
57.0,443,293,150.0
58.0,449,294,155.0
59.0,444,283,161.0
60.0,451,290,161.0
61.0,480,315,165.0
62.0,500,337,163.0
63.0,502,329,173.0
64.0,486,332,154.0
65.0,527,339,188.0
66.0,528,345,183.0
67.0,564,368,196.0
68.0,531,353,178.0
69.0,567,358,209.0
70.0,586,394,192.0
71.0,655,434,221.0
72.0,720,466,254.0
73.0,746,456,290.0
74.0,807,473,334.0
75.0,587,344,243.0
76.0,696,405,291.0
77.0,712,422,290.0
78.0,684,396,288.0
79.0,768,433,335.0
80.0,853,469,384.0
81.0,790,438,352.0
82.0,879,478,401.0
83.0,805,440,365.0
84.0,798,410,388.0
85.0,758,360,398.0
86.0,771,319,452.0
87.0,702,332,370.0
88.0,584,264,320.0
89.0,582,256,326.0
90.0,444,169,275.0
91.0,405,153,252.0
92.0,306,114,192.0
93.0,261,93,168.0
94.0,154,35,119.0
95.0,106,35,71.0
96.0,93,25,68.0
97.0,70,20,50.0
98.0,52,16,36.0
99.0,24,6,18.0
100.0,12,4,8.0
101.0,6,2,4.0
102.0,3,0,3.0
103.0,1,0,1.0
104.0,3,1,2.0
105.0,2,1,1.0
106.0,1,1,
