date,all,male,female
0.0,717,375,342.0
1.0,1062,560,502.0
2.0,1204,601,603.0
3.0,1784,886,898.0
4.0,2140,1123,1017.0
5.0,2492,1268,1224.0
6.0,2556,1373,1183.0
7.0,2692,1395,1297.0
8.0,2915,1539,1376.0
9.0,3114,1582,1532.0
10.0,3255,1699,1556.0
11.0,3206,1690,1516.0
12.0,2702,1415,1287.0
13.0,2650,1336,1314.0
14.0,2473,1216,1257.0
15.0,2705,1357,1348.0
16.0,2929,1428,1501.0
17.0,2788,1388,1400.0
18.0,3034,1443,1591.0
19.0,2410,1208,1202.0
20.0,2475,1204,1271.0
21.0,2301,1130,1171.0
22.0,2241,1115,1126.0
23.0,2195,1032,1163.0
24.0,2222,1106,1116.0
25.0,2309,1125,1184.0
26.0,2267,1061,1206.0
27.0,2304,1069,1235.0
28.0,2452,1139,1313.0
29.0,2433,1078,1355.0
30.0,2557,1153,1404.0
31.0,2700,1258,1442.0
32.0,2737,1226,1511.0
33.0,2680,1224,1456.0
34.0,2715,1222,1493.0
35.0,2766,1269,1497.0
36.0,2831,1261,1570.0
37.0,2983,1345,1638.0
38.0,3108,1344,1764.0
39.0,3222,1422,1800.0
40.0,3151,1386,1765.0
41.0,3154,1375,1779.0
42.0,3202,1405,1797.0
43.0,3364,1532,1832.0
44.0,3487,1544,1943.0
45.0,3544,1576,1968.0
46.0,3708,1638,2070.0
47.0,3663,1700,1963.0
48.0,3503,1575,1928.0
49.0,3519,1515,2004.0
50.0,3297,1468,1829.0
51.0,3347,1475,1872.0
52.0,3323,1482,1841.0
53.0,3126,1471,1655.0
54.0,3139,1391,1748.0
55.0,3076,1426,1650.0
56.0,2949,1372,1577.0
57.0,2880,1357,1523.0
58.0,2718,1237,1481.0
59.0,2576,1202,1374.0
60.0,2478,1156,1322.0
61.0,2277,1058,1219.0
62.0,2166,1032,1134.0
63.0,2038,986,1052.0
64.0,1992,974,1018.0
65.0,1750,840,910.0
66.0,1709,869,840.0
67.0,1535,751,784.0
68.0,1459,717,742.0
69.0,1384,664,720.0
70.0,1443,732,711.0
71.0,1335,658,677.0
72.0,1278,625,653.0
73.0,1210,608,602.0
74.0,1241,602,639.0
75.0,1051,517,534.0
76.0,1055,518,537.0
77.0,975,447,528.0
78.0,944,446,498.0
79.0,914,412,502.0
80.0,863,387,476.0
81.0,926,400,526.0
82.0,882,368,514.0
83.0,818,359,459.0
84.0,711,290,421.0
85.0,680,266,414.0
86.0,754,291,463.0
87.0,685,233,452.0
88.0,566,188,378.0
89.0,562,187,375.0
90.0,527,189,338.0
91.0,454,122,332.0
92.0,381,111,270.0
93.0,344,94,250.0
94.0,284,65,219.0
95.0,187,63,124.0
96.0,133,20,113.0
97.0,110,22,88.0
98.0,74,9,65.0
99.0,58,13,45.0
100.0,47,8,39.0
101.0,20,3,17.0
102.0,10,2,8.0
103.0,3,0,3.0
104.0,2,0,2.0
105.0,3,1,2.0
106.0,1,1,
