date,all,male,female
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,1,0.0,1
11.0,0,0.0,0
12.0,0,0.0,0
13.0,1,1.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,1,0.0,1
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,1,1.0,0
23.0,0,0.0,0
24.0,1,1.0,0
25.0,3,3.0,0
26.0,3,1.0,2
27.0,1,1.0,0
28.0,3,3.0,0
29.0,2,1.0,1
30.0,2,0.0,2
31.0,2,1.0,1
32.0,2,1.0,1
33.0,2,1.0,1
34.0,1,0.0,1
35.0,6,2.0,4
36.0,1,0.0,1
37.0,2,0.0,2
38.0,4,4.0,0
39.0,3,3.0,0
40.0,7,5.0,2
41.0,3,2.0,1
42.0,11,8.0,3
43.0,11,4.0,7
44.0,9,8.0,1
45.0,14,4.0,10
46.0,20,14.0,6
47.0,22,14.0,8
48.0,22,14.0,8
49.0,30,22.0,8
50.0,32,23.0,9
51.0,38,23.0,15
52.0,44,27.0,17
53.0,28,23.0,5
54.0,49,32.0,17
55.0,47,32.0,15
56.0,73,50.0,23
57.0,64,39.0,25
58.0,66,43.0,23
59.0,71,48.0,23
60.0,84,54.0,30
61.0,95,70.0,25
62.0,89,62.0,27
63.0,108,68.0,40
64.0,132,87.0,45
65.0,132,82.0,50
66.0,142,101.0,41
67.0,143,99.0,44
68.0,181,122.0,59
69.0,176,110.0,66
70.0,187,121.0,66
71.0,214,131.0,83
72.0,225,145.0,80
73.0,284,188.0,96
74.0,293,183.0,110
75.0,246,147.0,99
76.0,278,191.0,87
77.0,258,165.0,93
78.0,278,162.0,116
79.0,286,181.0,105
80.0,295,163.0,132
81.0,289,171.0,118
82.0,354,200.0,154
83.0,342,180.0,162
84.0,313,160.0,153
85.0,347,165.0,182
86.0,343,172.0,171
87.0,357,167.0,190
88.0,307,158.0,149
89.0,285,123.0,162
90.0,289,112.0,177
91.0,238,101.0,137
92.0,198,85.0,113
93.0,160,56.0,104
94.0,132,40.0,92
95.0,91,38.0,53
96.0,68,21.0,47
97.0,52,24.0,28
98.0,35,12.0,23
99.0,25,7.0,18
100.0,18,5.0,13
101.0,2,0.0,2
102.0,3,1.0,2
103.0,4,,4
104.0,1,,1
