date,all,male,female
0,2115,1150.0,965
1,2429,1264.0,1165
2,2544,1269.0,1275
3,2904,1496.0,1408
4,3407,1742.0,1665
5,3680,1874.0,1806
6,3880,1990.0,1890
7,4274,2158.0,2116
8,4806,2506.0,2300
9,4907,2466.0,2441
10,5244,2708.0,2536
11,5298,2781.0,2517
12,4495,2288.0,2207
13,4477,2261.0,2216
14,4279,2190.0,2089
15,4429,2210.0,2219
16,4552,2233.0,2319
17,4542,2271.0,2271
18,4312,2130.0,2182
19,3886,1946.0,1940
20,3906,1919.0,1987
21,4042,2014.0,2028
22,4029,2030.0,1999
23,3855,1882.0,1973
24,3853,1896.0,1957
25,3938,1920.0,2018
26,3983,1948.0,2035
27,4034,1916.0,2118
28,4056,1943.0,2113
29,4382,2097.0,2285
30,4297,2036.0,2261
31,4373,1991.0,2382
32,4500,2042.0,2458
33,4634,2086.0,2548
34,4698,2153.0,2545
35,4565,2028.0,2537
36,4859,2150.0,2709
37,4946,2232.0,2714
38,5240,2361.0,2879
39,5359,2411.0,2948
40,5460,2430.0,3030
41,5474,2474.0,3000
42,5622,2541.0,3081
43,5787,2536.0,3251
44,6015,2716.0,3299
45,6173,2828.0,3345
46,6384,2832.0,3552
47,6409,2893.0,3516
48,6186,2849.0,3337
49,6272,2865.0,3407
50,6167,2709.0,3458
51,5918,2713.0,3205
52,5902,2751.0,3151
53,5719,2567.0,3152
54,5655,2597.0,3058
55,5596,2569.0,3027
56,5577,2633.0,2944
57,5536,2509.0,3027
58,5053,2231.0,2822
59,4896,2261.0,2635
60,4786,2199.0,2587
61,4507,2104.0,2403
62,4285,1972.0,2313
63,3922,1838.0,2084
64,3670,1683.0,1987
65,3779,1760.0,2019
66,3579,1661.0,1918
67,3430,1579.0,1851
68,3174,1477.0,1697
69,3186,1503.0,1683
70,3167,1504.0,1663
71,3215,1546.0,1669
72,3407,1644.0,1763
73,3363,1594.0,1769
74,3140,1527.0,1613
75,2972,1463.0,1509
76,2622,1234.0,1388
77,2296,1059.0,1237
78,2495,1169.0,1326
79,2360,1138.0,1222
80,2235,1094.0,1141
81,2422,1115.0,1307
82,2303,1044.0,1259
83,2107,958.0,1149
84,1968,850.0,1118
85,1642,711.0,931
86,1627,656.0,971
87,1495,621.0,874
88,1331,536.0,795
89,1155,434.0,721
90,994,341.0,653
91,843,307.0,536
92,724,208.0,516
93,565,189.0,376
94,486,131.0,355
95,314,81.0,233
96,281,64.0,217
97,188,38.0,150
98,144,34.0,110
99,89,6.0,83
100,51,14.0,37
101,30,5.0,25
102,12,5.0,7
103,7,1.0,6
104,4,,4
105,3,,3
106,2,,2
