date,all,male,female
0.0,22,15,7.0
1.0,4,1,3.0
2.0,5,1,4.0
3.0,2,1,1.0
4.0,0,0,0.0
5.0,3,2,1.0
6.0,4,2,2.0
7.0,6,5,1.0
8.0,3,2,1.0
9.0,2,1,1.0
10.0,7,2,5.0
11.0,3,2,1.0
12.0,3,3,0.0
13.0,3,0,3.0
14.0,4,1,3.0
15.0,4,1,3.0
16.0,3,2,1.0
17.0,3,2,1.0
18.0,7,3,4.0
19.0,5,1,4.0
20.0,10,8,2.0
21.0,4,4,0.0
22.0,10,4,6.0
23.0,5,1,4.0
24.0,8,5,3.0
25.0,12,4,8.0
26.0,14,7,7.0
27.0,12,6,6.0
28.0,17,7,10.0
29.0,22,11,11.0
30.0,11,5,6.0
31.0,13,7,6.0
32.0,19,10,9.0
33.0,29,13,16.0
34.0,21,10,11.0
35.0,19,7,12.0
36.0,24,9,15.0
37.0,27,15,12.0
38.0,22,12,10.0
39.0,26,14,12.0
40.0,32,19,13.0
41.0,43,27,16.0
42.0,32,22,10.0
43.0,38,23,15.0
44.0,54,36,18.0
45.0,57,38,19.0
46.0,48,32,16.0
47.0,56,36,20.0
48.0,66,39,27.0
49.0,69,49,20.0
50.0,58,32,26.0
51.0,75,52,23.0
52.0,71,40,31.0
53.0,74,41,33.0
54.0,83,53,30.0
55.0,88,61,27.0
56.0,104,69,35.0
57.0,87,49,38.0
58.0,88,49,39.0
59.0,110,71,39.0
60.0,120,74,46.0
61.0,104,75,29.0
62.0,113,70,43.0
63.0,98,60,38.0
64.0,120,67,53.0
65.0,139,87,52.0
66.0,99,61,38.0
67.0,113,75,38.0
68.0,104,70,34.0
69.0,118,78,40.0
70.0,106,69,37.0
71.0,154,96,58.0
72.0,145,82,63.0
73.0,138,86,52.0
74.0,145,89,56.0
75.0,132,88,44.0
76.0,104,57,47.0
77.0,136,72,64.0
78.0,133,74,59.0
79.0,145,78,67.0
80.0,146,73,73.0
81.0,147,82,65.0
82.0,157,82,75.0
83.0,156,70,86.0
84.0,138,65,73.0
85.0,126,65,61.0
86.0,117,47,70.0
87.0,129,59,70.0
88.0,109,52,57.0
89.0,111,40,71.0
90.0,92,42,50.0
91.0,69,35,34.0
92.0,55,17,38.0
93.0,67,24,43.0
94.0,54,15,39.0
95.0,30,8,22.0
96.0,19,11,8.0
97.0,14,3,11.0
98.0,12,4,8.0
99.0,4,1,3.0
100.0,6,3,3.0
101.0,3,1,2.0
102.0,1,1,
