date,all,male,female
0.0,322,175.0,147
1.0,42,22.0,20
2.0,37,21.0,16
3.0,24,14.0,10
4.0,23,10.0,13
5.0,22,15.0,7
6.0,19,12.0,7
7.0,17,9.0,8
8.0,23,13.0,10
9.0,28,13.0,15
10.0,28,17.0,11
11.0,30,23.0,7
12.0,33,17.0,16
13.0,25,15.0,10
14.0,27,15.0,12
15.0,26,12.0,14
16.0,30,17.0,13
17.0,37,19.0,18
18.0,36,14.0,22
19.0,38,15.0,23
20.0,45,13.0,32
21.0,61,20.0,41
22.0,71,32.0,39
23.0,93,41.0,52
24.0,70,23.0,47
25.0,101,37.0,64
26.0,95,29.0,66
27.0,107,38.0,69
28.0,123,39.0,84
29.0,108,30.0,78
30.0,139,40.0,99
31.0,138,51.0,87
32.0,154,52.0,102
33.0,168,58.0,110
34.0,188,65.0,123
35.0,153,56.0,97
36.0,180,73.0,107
37.0,187,71.0,116
38.0,182,78.0,104
39.0,202,112.0,90
40.0,202,113.0,89
41.0,204,120.0,84
42.0,222,144.0,78
43.0,260,169.0,91
44.0,265,172.0,93
45.0,299,198.0,101
46.0,346,246.0,100
47.0,398,257.0,141
48.0,362,249.0,113
49.0,437,300.0,137
50.0,490,327.0,163
51.0,553,365.0,188
52.0,577,384.0,193
53.0,614,422.0,192
54.0,630,434.0,196
55.0,682,456.0,226
56.0,727,502.0,225
57.0,688,458.0,230
58.0,737,480.0,257
59.0,778,510.0,268
60.0,782,525.0,257
61.0,831,551.0,280
62.0,847,563.0,284
63.0,803,556.0,247
64.0,808,550.0,258
65.0,817,570.0,247
66.0,829,542.0,287
67.0,882,596.0,286
68.0,945,613.0,332
69.0,921,577.0,344
70.0,997,662.0,335
71.0,1071,672.0,399
72.0,1144,718.0,426
73.0,1222,752.0,470
74.0,1281,771.0,510
75.0,1264,775.0,489
76.0,1207,718.0,489
77.0,1263,737.0,526
78.0,1297,756.0,541
79.0,1344,778.0,566
80.0,1395,817.0,578
81.0,1425,791.0,634
82.0,1512,836.0,676
83.0,1550,838.0,712
84.0,1440,744.0,696
85.0,1398,665.0,733
86.0,1435,688.0,747
87.0,1275,607.0,668
88.0,1211,560.0,651
89.0,1115,451.0,664
90.0,1073,437.0,636
91.0,935,364.0,571
92.0,705,245.0,460
93.0,663,213.0,450
94.0,528,178.0,350
95.0,383,131.0,252
96.0,272,81.0,191
97.0,210,68.0,142
98.0,134,28.0,106
99.0,81,17.0,64
100.0,45,12.0,33
101.0,20,3.0,17
102.0,11,4.0,7
103.0,4,3.0,1
104.0,4,2.0,2
105.0,2,,2
106.0,1,,1
107.0,1,,1
