date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-18,,,,,,,,,,
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,1,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,1,1,1,1,0,0,1,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,1,1,3,0,2,0
2020-02-27,0,0,0,1,0,1,0,0,1,0
2020-02-28,2,0,0,1,1,0,1,1,0,0
2020-02-29,0,0,0,0,1,2,0,0,0,1
2020-03-01,0,0,0,2,4,3,5,0,3,1
2020-03-02,0,0,0,2,4,3,4,2,0,0
2020-03-03,0,0,0,3,4,5,6,1,3,0
2020-03-04,0,0,0,2,4,2,4,5,1,0
2020-03-05,0,1,0,3,7,7,4,2,2,0
2020-03-06,0,0,0,1,3,7,10,9,4,1
2020-03-07,0,0,4,2,2,10,15,2,1,0
2020-03-08,0,0,1,3,17,11,12,8,0,0
2020-03-09,1,2,3,3,10,13,8,11,9,3
2020-03-10,0,4,3,11,17,21,19,10,12,2
2020-03-11,1,1,3,9,10,8,15,8,7,2
2020-03-12,0,1,1,7,15,12,29,7,9,0
2020-03-13,0,0,8,9,13,21,14,8,9,1
2020-03-14,1,0,8,8,15,16,12,5,3,4
2020-03-15,0,6,5,5,14,19,23,22,7,1
2020-03-16,3,0,2,6,21,10,21,9,6,1
2020-03-17,2,2,2,11,8,13,12,7,7,0
2020-03-18,2,1,7,8,8,13,12,7,4,2
2020-03-19,0,1,3,7,8,10,19,9,4,3
2020-03-20,0,3,4,15,20,12,17,18,5,2
2020-03-21,0,0,5,5,12,12,9,5,5,1
2020-03-22,1,3,2,5,15,17,8,12,6,5
2020-03-23,0,5,5,12,12,11,7,5,4,4
2020-03-24,0,4,3,6,9,8,6,4,4,3
2020-03-25,0,0,1,3,6,15,6,7,8,1
2020-03-26,1,0,7,7,5,8,3,2,3,1
2020-03-27,1,5,2,2,3,8,10,6,7,2
2020-03-28,1,5,4,2,5,12,4,6,7,1
2020-03-29,0,2,1,4,3,3,2,3,1,0
2020-03-30,2,3,4,4,5,15,4,3,1,2
2020-03-31,0,1,1,3,5,12,6,1,3,1
2020-04-01,0,2,3,6,4,6,12,4,9,4
2020-04-02,1,1,0,2,5,5,4,4,5,3
2020-04-03,0,0,2,2,6,5,1,4,4,0
2020-04-04,1,1,1,2,7,7,2,2,7,4
2020-04-05,0,2,2,0,4,2,1,3,2,6
2020-04-06,0,0,6,2,4,5,2,2,2,3
2020-04-07,0,1,0,3,0,8,1,1,0,2
2020-04-08,0,2,2,3,6,2,3,1,8,3
2020-04-09,0,1,0,2,4,5,5,9,6,1
2020-04-10,0,0,3,4,2,1,4,4,6,3
2020-04-11,0,0,1,1,2,5,2,5,5,1
2020-04-12,0,0,2,0,1,3,3,2,3,1
2020-04-13,0,0,0,3,3,2,5,2,6,6
2020-04-14,0,0,0,4,2,2,0,4,5,0
2020-04-15,2,0,4,3,2,3,1,5,8,3
2020-04-16,2,0,0,1,1,2,2,3,4,3
2020-04-17,0,0,1,1,2,1,0,3,10,3
2020-04-18,0,2,1,1,1,0,3,5,6,4
2020-04-19,0,0,0,0,0,1,1,1,7,1
2020-04-20,0,0,0,2,1,5,1,5,5,2
2020-04-21,0,1,0,0,1,0,2,0,4,2
2020-04-22,0,1,0,0,1,2,3,1,7,6
2020-04-23,0,0,1,1,0,1,0,2,5,2
2020-04-24,0,0,0,0,1,2,0,2,3,3
2020-04-25,0,0,1,1,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,1,0,5,0
2020-04-27,0,2,1,1,1,1,0,0,1,3
2020-04-28,0,0,0,0,0,3,2,1,3,1
2020-04-29,0,0,0,1,0,0,2,1,1,4
2020-04-30,0,0,1,1,0,2,3,2,4,0
2020-05-01,0,1,0,1,0,0,0,0,2,1
2020-05-02,0,0,1,2,0,2,0,3,0,0
2020-05-03,0,0,1,0,1,0,1,0,0,1
2020-05-04,1,0,0,1,2,0,1,0,1,0
2020-05-05,1,0,1,0,1,1,0,2,1,1
2020-05-06,0,0,0,0,0,0,1,2,0,0
2020-05-07,0,0,0,0,1,0,0,0,1,1
2020-05-08,2,1,0,0,0,0,0,1,0,0
2020-05-09,0,0,0,0,0,1,0,0,2,0
2020-05-10,0,0,1,3,1,0,0,2,0,0
2020-05-11,0,1,0,0,0,1,2,1,0,1
2020-05-12,0,0,3,0,1,2,0,0,1,1
2020-05-13,0,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,3,0,0,0,2,0,0,0
2020-05-15,0,0,1,0,0,2,0,0,1,0
2020-05-16,0,0,0,0,0,2,0,0,1,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,1,0,0,1,1,0,1,0,0,0
2020-05-19,0,2,1,0,1,0,0,1,1,0
2020-05-20,0,0,0,0,0,1,1,0,0,0
2020-05-21,1,0,0,0,1,0,0,0,0,1
2020-05-22,0,0,0,0,0,0,0,1,0,0
2020-05-23,0,0,0,0,1,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,1,0,0,0
2020-05-25,0,0,0,0,0,1,1,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,1,0
2020-05-27,0,0,0,0,1,0,0,0,1,1
2020-05-28,0,0,2,0,1,0,0,0,0,0
2020-05-29,0,0,0,0,0,2,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,1,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,1,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,2,0,0,0,1,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,1
2020-06-08,0,0,0,0,0,0,0,0,1,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,1,1,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,1,0,1,0,1
2020-06-16,0,0,0,0,1,1,0,0,1,0
2020-06-17,0,0,0,0,0,0,0,1,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,1,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,1,1,0,0,0
2020-06-24,0,0,0,0,0,1,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,1,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,1,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,1,1,0,0,1,0
2020-07-11,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,1,0,2,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,1,0,0,0,0,0,0
2020-07-15,0,0,0,1,0,0,0,0,0,0
2020-07-16,0,0,0,0,1,0,0,0,0,0
2020-07-17,0,0,0,1,0,1,0,1,0,0
