date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-01-29,0,0,0,0,0,0,0,1,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,1,0,0,0,0,0,0
2020-02-28,0,1,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,1,0,0,0,2,1,0,0,1
2020-03-02,1,0,0,0,1,1,1,1,0,0,1
2020-03-03,0,0,1,1,0,0,0,0,0,1,0
2020-03-04,0,0,0,1,4,2,2,3,1,2,1
2020-03-05,0,0,0,1,1,1,4,2,5,0,0
2020-03-06,0,0,0,1,1,2,2,4,2,2,1
2020-03-07,0,0,0,1,2,4,3,4,2,1,1
2020-03-08,0,0,1,0,0,2,4,8,4,1,2
2020-03-09,0,0,1,1,3,3,7,3,2,1,0
2020-03-10,1,0,0,1,2,1,6,2,2,1,2
2020-03-11,0,0,0,1,4,7,6,3,6,4,1
2020-03-12,0,0,1,0,4,5,8,7,8,6,0
2020-03-13,0,0,0,4,6,8,6,7,7,4,5
2020-03-14,0,0,0,3,5,4,9,9,7,5,1
2020-03-15,0,1,1,2,4,3,10,7,2,3,1
2020-03-16,0,0,1,5,9,4,18,10,12,7,2
2020-03-17,0,0,0,5,8,11,14,5,8,9,2
2020-03-18,1,2,2,7,16,23,21,9,7,8,2
2020-03-19,1,0,1,8,15,15,22,16,17,26,8
2020-03-20,1,1,1,7,10,19,17,13,23,11,3
2020-03-21,2,4,1,7,6,9,25,13,8,12,2
2020-03-22,0,2,1,3,8,10,26,11,15,8,2
2020-03-23,0,2,2,4,12,21,22,16,18,25,13
2020-03-24,0,1,1,8,6,17,24,14,13,11,7
2020-03-25,0,2,0,5,11,20,17,10,18,26,11
2020-03-26,0,1,2,7,16,25,24,12,15,33,30
2020-03-27,0,1,1,10,6,22,18,12,13,31,21
2020-03-28,0,2,1,11,9,17,21,14,5,21,7
2020-03-29,0,2,0,7,9,8,10,6,7,9,2
2020-03-30,3,1,1,7,17,28,27,11,10,18,1
2020-03-31,0,0,5,8,6,14,12,10,8,7,4
2020-04-01,0,1,2,6,8,14,21,14,13,11,11
2020-04-02,2,0,5,3,8,19,15,11,11,9,5
2020-04-03,0,1,3,6,10,19,14,8,8,11,4
2020-04-04,3,2,2,8,6,13,14,9,10,22,7
2020-04-05,1,1,2,2,2,11,9,3,3,2,4
2020-04-06,0,0,1,4,10,6,12,4,8,6,5
2020-04-07,1,2,2,4,10,15,14,3,6,5,3
2020-04-08,1,0,2,11,8,11,9,9,13,18,20
2020-04-09,0,1,1,9,8,14,9,9,11,25,23
2020-04-10,0,0,1,5,7,10,13,8,6,28,20
2020-04-11,1,1,0,8,5,11,14,9,9,15,14
2020-04-12,0,1,5,1,3,8,8,7,8,7,5
2020-04-13,0,1,0,4,7,13,8,5,15,28,18
2020-04-14,0,0,1,1,4,5,6,8,3,14,6
2020-04-15,1,1,2,8,5,7,4,7,0,6,0
2020-04-16,0,0,2,7,9,6,6,5,7,1,2
2020-04-17,1,0,0,11,10,9,30,9,17,12,4
2020-04-18,0,0,0,3,4,9,3,3,2,5,2
2020-04-19,2,1,0,2,3,2,3,3,3,2,1
2020-04-20,0,0,1,2,1,8,6,1,2,5,0
2020-04-21,0,1,2,4,2,4,6,4,2,5,0
2020-04-22,1,0,1,5,8,5,6,3,3,8,6
2020-04-23,1,0,0,1,3,3,2,4,3,5,7
2020-04-24,0,1,0,7,3,5,10,7,3,7,1
2020-04-25,0,1,2,5,4,5,2,1,2,4,0
2020-04-26,0,0,2,0,1,4,5,1,9,6,1
2020-04-27,0,2,1,1,3,4,3,2,4,6,0
2020-04-28,1,1,1,5,1,3,3,3,0,4,3
2020-04-29,0,1,1,5,3,9,6,2,2,2,1
2020-04-30,0,0,0,2,2,4,3,0,1,1,2
2020-05-01,2,1,0,4,2,1,2,4,1,6,4
2020-05-02,0,2,0,2,1,1,3,1,1,2,1
2020-05-03,1,0,0,1,1,1,5,0,0,2,0
2020-05-04,0,1,1,3,2,7,5,6,4,2,2
2020-05-05,1,2,0,1,5,4,2,3,4,3,6
2020-05-06,0,0,0,2,0,5,4,0,2,2,1
2020-05-07,0,0,1,3,1,2,3,0,3,2,1
2020-05-08,0,0,0,3,1,5,5,5,2,4,0
2020-05-09,0,0,1,1,1,2,4,1,2,2,1
2020-05-10,0,0,0,4,1,3,3,0,1,3,0
2020-05-11,0,0,0,0,1,0,1,2,3,0,1
2020-05-12,0,0,3,3,2,3,2,4,0,1,0
2020-05-13,0,0,0,0,1,2,2,3,1,2,1
2020-05-14,0,0,0,1,3,2,5,0,0,0,1
2020-05-15,0,1,0,5,2,1,5,3,2,2,0
2020-05-16,0,0,0,3,1,3,4,1,2,3,0
2020-05-17,0,1,0,1,2,2,4,1,5,2,1
2020-05-18,0,0,0,2,1,2,0,1,2,0,1
2020-05-19,0,1,0,1,3,1,1,3,2,0,0
2020-05-20,0,1,0,1,3,1,2,1,0,0,1
2020-05-21,0,0,0,1,1,2,4,1,1,1,0
2020-05-22,0,0,0,0,0,1,0,0,2,2,0
2020-05-23,0,0,0,1,0,1,1,5,3,3,1
2020-05-24,0,0,0,0,1,0,1,0,1,0,0
2020-05-25,1,0,0,0,2,0,4,0,2,1,1
2020-05-26,0,0,0,0,2,0,2,3,1,1,1
2020-05-27,0,0,0,0,0,0,0,1,1,1,0
2020-05-28,2,0,0,4,0,1,0,0,0,1,0
2020-05-29,0,0,0,1,0,2,0,0,0,0,0
2020-05-30,0,0,0,2,0,0,1,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,1,0,0,0,1,0,0,0,0,0,0
2020-06-02,1,1,1,0,1,0,0,0,0,0,0
2020-06-03,0,1,0,0,1,2,1,1,0,0,1
2020-06-04,1,0,0,1,0,2,1,0,2,1,0
2020-06-05,0,0,0,1,1,1,1,0,2,7,0
2020-06-06,0,1,0,1,1,1,4,0,2,2,0
2020-06-07,0,0,0,1,0,1,0,0,1,1,0
2020-06-08,0,0,0,1,1,0,1,2,1,1,0
2020-06-09,0,0,1,0,1,1,3,0,1,2,0
2020-06-10,0,0,1,2,0,1,0,2,5,2,0
2020-06-11,0,0,2,1,0,4,3,1,0,1,0
2020-06-12,0,0,0,2,0,1,2,1,1,1,1
2020-06-13,2,0,0,1,1,2,0,3,0,0,0
2020-06-14,0,0,0,1,0,0,0,0,1,2,0
2020-06-15,0,0,0,0,0,0,0,1,0,0,0
2020-06-16,0,0,0,1,0,0,0,1,0,0,0
2020-06-17,0,0,0,1,0,0,1,0,0,1,1
2020-06-18,0,0,0,1,2,0,2,0,1,1,0
2020-06-19,1,0,0,0,1,0,0,0,0,0,0
2020-06-20,0,0,0,0,1,0,1,1,1,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,1,0
2020-06-22,0,0,0,0,1,1,3,1,2,0,0
2020-06-23,0,2,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,1,0,1,1,1,0,1,0
2020-06-25,0,0,0,2,0,1,0,1,0,2,0
2020-06-26,0,1,0,0,0,2,2,1,0,1,0
2020-06-27,0,1,0,2,0,1,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,1,1,2,0,1,0,1
2020-06-30,0,0,1,0,0,2,0,0,1,1,0
2020-07-01,0,0,0,0,1,0,1,1,0,0,0
2020-07-02,0,0,1,1,0,1,2,3,0,0,0
2020-07-03,0,2,1,3,1,4,1,2,0,3,0
2020-07-04,0,1,0,0,0,0,0,1,0,1,0
2020-07-05,0,0,0,1,0,3,0,0,0,0,0
2020-07-06,1,0,0,1,0,0,1,0,0,0,0
2020-07-07,0,1,0,0,1,0,0,0,1,0,0
2020-07-08,2,1,0,0,2,1,0,0,0,0,1
2020-07-09,0,0,0,1,2,2,1,1,0,0,1
2020-07-10,1,0,0,2,1,0,0,1,0,0,1
2020-07-11,2,1,0,3,0,0,2,1,0,0,0
2020-07-12,0,1,0,0,3,0,0,0,1,2,0
2020-07-13,0,0,1,1,1,2,1,1,0,1,1
2020-07-14,0,0,0,1,0,1,1,0,0,0,0
2020-07-15,0,0,0,2,0,0,0,0,0,0,0
2020-07-16,0,0,0,1,1,2,0,1,0,0,0
2020-07-17,1,0,1,1,0,0,2,1,0,1,0
2020-07-18,0,0,0,1,0,1,2,2,0,1,0
2020-07-19,0,0,0,0,1,0,1,1,0,1,0
2020-07-20,0,0,0,2,1,3,1,0,0,0,0
2020-07-21,0,1,0,1,0,2,3,1,0,0,0
