date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-01,,,,,,,,,,
2020-02-02,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,1,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,1,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,1,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,1,0
2020-02-15,0,0,0,0,0,0,0,1,0,0
2020-02-16,0,0,0,0,0,0,0,0,1,0
2020-02-17,0,0,0,0,0,0,0,1,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,1,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,1,0,0
2020-02-22,0,0,0,0,0,1,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,1,1,0
2020-02-24,0,0,0,0,2,0,0,2,0,0
2020-02-25,0,0,1,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,1,0,0,1,1,0
2020-02-27,0,0,0,0,1,1,2,4,2,1
2020-02-28,0,0,1,0,0,0,1,1,2,0
2020-02-29,0,0,0,2,0,1,0,2,1,0
2020-03-01,0,0,0,1,3,3,4,13,5,1
2020-03-02,0,0,0,0,0,6,5,5,5,0
2020-03-03,0,0,1,0,0,5,3,9,8,0
2020-03-04,0,0,0,0,2,3,1,5,4,2
2020-03-05,0,0,1,2,2,11,5,12,6,0
2020-03-06,0,0,0,1,4,6,6,7,6,1
2020-03-07,0,0,2,1,2,10,10,14,6,0
2020-03-08,0,0,1,6,3,12,18,7,8,0
2020-03-09,1,1,0,5,13,13,10,8,9,4
2020-03-10,0,1,8,8,11,26,22,15,11,5
2020-03-11,0,0,2,5,7,15,17,18,12,2
2020-03-12,0,0,1,5,10,17,17,17,17,5
2020-03-13,2,1,2,10,10,21,26,24,19,4
2020-03-14,0,1,0,6,12,14,23,25,14,4
2020-03-15,4,2,2,7,7,25,19,23,17,3
2020-03-16,0,2,4,2,10,21,15,23,19,4
2020-03-17,1,0,2,9,12,18,24,24,19,4
2020-03-18,0,2,2,4,11,30,23,23,15,3
2020-03-19,1,0,1,3,5,14,14,24,16,3
2020-03-20,0,2,2,8,17,34,24,12,28,7
2020-03-21,1,0,1,3,8,13,19,15,14,4
2020-03-22,0,1,0,7,9,23,19,18,19,6
2020-03-23,0,1,1,5,4,20,13,9,16,1
2020-03-24,0,2,0,4,6,8,14,7,13,4
2020-03-25,0,3,5,5,7,10,17,14,19,6
2020-03-26,1,1,2,4,13,9,10,12,15,4
2020-03-27,0,5,3,7,6,16,10,13,10,5
2020-03-28,2,1,3,2,6,11,17,11,15,6
2020-03-29,0,1,3,4,5,9,15,7,18,4
2020-03-30,0,0,5,6,3,6,7,15,14,5
2020-03-31,1,2,1,3,2,7,7,10,6,0
2020-04-01,0,1,3,2,3,16,14,7,20,4
2020-04-02,0,0,3,3,8,6,9,9,12,2
2020-04-03,1,0,6,2,4,10,9,9,11,2
2020-04-04,0,1,1,2,4,13,4,11,9,3
2020-04-05,0,2,2,6,14,11,3,1,14,1
2020-04-06,2,0,4,3,6,10,5,8,12,5
2020-04-07,0,0,0,2,2,5,6,9,9,4
2020-04-08,0,0,3,3,3,4,5,4,10,6
2020-04-09,0,0,3,2,3,9,2,9,6,1
2020-04-10,0,1,3,1,4,7,6,7,17,5
2020-04-11,1,0,4,6,2,3,3,3,10,1
2020-04-12,0,0,2,3,9,6,5,8,12,2
2020-04-13,0,1,0,4,1,7,9,9,12,7
2020-04-14,1,2,1,1,2,7,6,2,8,5
2020-04-15,0,1,2,0,5,4,8,8,10,4
2020-04-16,1,0,0,1,7,5,4,1,3,2
2020-04-17,1,0,0,1,3,1,4,4,7,2
2020-04-18,0,0,1,1,6,5,5,9,6,6
2020-04-19,0,2,2,1,2,4,6,4,8,3
2020-04-20,1,0,5,2,5,13,8,7,13,6
2020-04-21,0,0,4,0,3,1,2,3,9,1
2020-04-22,0,0,1,2,0,3,1,5,6,0
2020-04-23,0,0,0,0,2,2,1,5,4,0
2020-04-24,0,0,1,1,2,1,1,0,3,0
2020-04-25,0,2,0,4,3,3,3,7,4,1
2020-04-26,0,1,0,2,5,0,2,2,3,0
2020-04-27,0,0,1,3,7,5,3,5,6,3
2020-04-28,0,0,2,2,7,5,1,1,2,2
2020-04-29,0,0,0,1,1,0,0,5,4,0
2020-04-30,1,0,1,0,0,1,3,1,4,1
2020-05-01,1,0,4,2,3,7,4,6,8,3
2020-05-02,0,0,2,3,2,1,2,3,2,3
2020-05-03,0,0,0,1,2,0,1,1,1,0
2020-05-04,0,0,0,2,3,1,1,1,0,1
2020-05-05,0,2,2,1,4,3,2,1,6,3
2020-05-06,1,0,1,0,1,0,0,1,2,1
2020-05-07,0,2,1,1,0,1,2,1,1,0
2020-05-08,1,1,0,1,3,2,0,2,1,1
2020-05-09,0,0,1,5,1,3,1,1,2,0
2020-05-10,0,1,1,0,2,3,2,0,1,0
2020-05-11,0,0,2,0,1,1,3,1,4,0
2020-05-12,0,1,0,0,2,1,1,1,3,0
2020-05-13,1,1,2,1,2,2,4,3,3,1
2020-05-14,0,0,0,2,0,1,1,1,1,0
2020-05-15,1,0,1,1,1,0,2,2,1,1
2020-05-16,0,0,2,1,0,0,2,0,1,1
2020-05-17,0,1,1,1,1,0,0,1,2,0
2020-05-18,1,1,0,1,0,1,1,0,1,2
2020-05-19,0,0,2,0,0,1,1,1,3,0
2020-05-20,0,0,1,0,1,1,2,0,0,3
2020-05-21,0,0,0,0,1,0,0,1,1,1
2020-05-22,0,0,0,0,2,0,0,1,0,0
2020-05-23,0,0,0,0,1,0,1,1,1,0
2020-05-24,0,0,0,0,0,0,0,0,1,0
2020-05-25,0,0,0,1,0,2,0,1,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,1
2020-05-27,0,1,0,1,0,0,0,0,1,2
2020-05-28,0,2,0,0,0,1,1,0,1,0
2020-05-29,0,0,0,1,2,0,0,0,0,0
2020-05-30,0,0,0,1,0,0,1,0,1,1
2020-05-31,0,0,0,0,0,0,1,1,1,0
2020-06-01,0,0,0,0,0,0,1,1,3,0
2020-06-02,0,1,1,0,0,0,0,0,1,0
2020-06-03,0,0,0,1,0,2,0,1,3,0
2020-06-04,0,0,0,0,0,0,2,0,1,0
2020-06-05,0,0,0,0,1,0,1,1,0,0
2020-06-06,0,0,0,1,0,0,0,0,0,0
2020-06-07,0,0,0,0,2,0,0,0,0,0
2020-06-08,0,0,0,0,0,1,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,1,0,0,0,1,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,2,0,0,0,0,0,0
2020-06-13,0,0,0,0,1,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,1,0,0,0,1,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,1,1,0
2020-06-18,0,0,0,0,0,0,0,0,1,0
2020-06-19,0,0,0,0,0,0,0,0,1,0
2020-06-20,0,0,0,0,2,0,1,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
