date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-26,0,0,0,0,0,0,0,0,0,2,0
2020-02-27,0,0,0,0,0,0,1,0,0,0,0
2020-02-28,0,0,0,0,0,2,2,0,0,2,1
2020-02-29,0,0,0,0,0,0,1,0,1,0,0
2020-03-01,0,0,0,1,0,0,0,0,2,0,0
2020-03-02,0,0,0,0,0,2,3,0,0,3,1
2020-03-03,1,0,0,0,1,1,2,2,3,2,2
2020-03-04,0,0,0,2,0,1,4,3,4,6,1
2020-03-05,0,0,1,0,0,5,2,3,1,1,0
2020-03-06,0,0,3,0,1,3,4,3,4,2,2
2020-03-07,0,0,0,1,2,2,1,4,2,3,2
2020-03-08,0,0,0,2,2,3,4,3,1,6,0
2020-03-09,0,0,0,0,1,1,6,8,3,3,3
2020-03-10,0,1,0,4,2,3,6,7,6,3,1
2020-03-11,0,0,0,2,3,9,9,6,10,7,1
2020-03-12,0,0,1,4,6,9,19,9,16,11,9
2020-03-13,0,0,0,2,9,4,15,10,9,9,8
2020-03-14,0,0,0,1,9,10,12,16,13,22,21
2020-03-15,0,0,0,1,5,9,8,12,2,6,3
2020-03-16,0,0,0,1,2,7,14,14,9,6,6
2020-03-17,0,1,0,2,7,14,19,14,11,9,3
2020-03-18,0,0,0,3,6,15,14,16,11,13,10
2020-03-19,0,0,0,7,15,20,24,9,13,21,4
2020-03-20,0,1,1,4,6,14,16,19,8,11,2
2020-03-21,0,1,2,7,11,23,30,16,20,42,34
2020-03-22,0,0,0,3,5,6,6,5,18,5,8
2020-03-23,1,0,0,3,6,16,22,9,11,17,5
2020-03-24,1,0,4,11,18,25,37,14,10,20,5
2020-03-25,0,3,0,6,12,13,24,15,9,22,13
2020-03-26,0,2,0,6,8,10,17,8,12,23,17
2020-03-27,0,0,0,9,7,13,18,7,11,25,13
2020-03-28,0,1,0,8,13,23,32,15,15,22,9
2020-03-29,0,1,1,3,10,9,15,5,10,9,1
2020-03-30,1,0,2,9,9,10,19,8,8,11,6
2020-03-31,0,0,0,2,9,22,10,8,8,14,10
2020-04-01,1,1,2,11,7,19,23,15,7,20,7
2020-04-02,2,1,0,8,15,19,28,9,10,19,9
2020-04-03,1,1,3,4,7,21,22,6,7,11,9
2020-04-04,0,0,1,8,7,4,14,8,7,9,8
2020-04-05,0,0,0,1,1,2,1,1,7,15,6
2020-04-06,1,1,1,6,9,18,10,6,12,22,19
2020-04-07,1,0,0,6,7,13,14,12,10,20,13
2020-04-08,2,0,1,5,5,9,16,7,7,19,13
2020-04-09,0,1,0,6,8,9,17,5,10,22,16
2020-04-10,0,0,0,7,3,6,6,7,5,20,11
2020-04-11,0,0,0,0,7,2,7,3,10,15,8
2020-04-12,0,0,0,0,0,1,4,2,1,3,2
2020-04-13,0,0,0,0,1,6,6,4,3,3,2
2020-04-14,1,0,0,5,4,11,6,4,4,14,14
2020-04-15,0,1,1,6,4,9,10,7,8,15,4
2020-04-16,0,1,0,5,3,3,5,5,5,8,9
2020-04-17,1,1,0,3,2,6,6,5,3,4,6
