date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89
2020-02-07,0,0,0,0,0,0,0,0,0,1
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,1,0,0,0
2020-02-15,0,1,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,1,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,1,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,1,0
2020-02-21,0,0,0,0,0,0,0,1,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,2,0,1
2020-02-24,0,0,0,0,0,1,1,0,0,0
2020-02-25,0,0,0,0,0,3,0,0,0,0
2020-02-26,0,0,0,1,0,0,1,0,0,0
2020-02-27,0,0,0,2,0,2,3,1,0,0
2020-02-28,0,0,0,1,2,0,0,0,0,1
2020-02-29,0,0,0,2,1,1,0,2,1,0
2020-03-01,0,0,0,4,1,5,1,1,1,0
2020-03-02,1,0,0,3,2,1,2,3,1,0
2020-03-03,1,0,0,1,1,0,4,4,2,0
2020-03-04,0,0,0,0,0,4,3,2,2,0
2020-03-05,1,0,1,3,1,1,4,3,2,0
2020-03-06,0,0,0,0,0,5,5,4,2,1
2020-03-07,0,0,0,1,3,4,7,3,2,0
2020-03-08,0,0,0,1,6,1,7,11,4,1
2020-03-09,0,0,0,1,3,5,12,7,3,1
2020-03-10,0,2,0,2,6,7,15,13,8,1
2020-03-11,0,0,1,1,5,4,16,11,4,1
2020-03-12,0,1,0,3,1,4,15,10,8,2
2020-03-13,0,1,0,3,2,8,21,6,7,1
2020-03-14,1,1,0,3,3,6,9,11,4,2
2020-03-15,0,0,1,5,7,10,21,11,11,9
2020-03-16,1,0,5,3,2,7,17,11,10,0
2020-03-17,0,0,1,4,5,7,15,6,4,6
2020-03-18,2,0,2,5,5,10,11,12,6,5
2020-03-19,2,4,2,6,4,11,11,5,8,4
2020-03-20,1,1,1,8,7,11,15,13,11,9
2020-03-21,0,1,1,3,0,5,6,5,6,9
2020-03-22,0,0,2,8,1,5,9,8,7,9
2020-03-23,1,0,0,3,3,4,8,6,5,2
2020-03-24,0,0,0,4,3,2,8,4,3,7
2020-03-25,0,0,0,3,2,3,5,10,7,7
2020-03-26,0,0,1,1,1,3,7,6,5,8
2020-03-27,0,0,0,2,4,4,8,6,1,9
2020-03-28,0,1,0,1,3,7,2,0,4,2
2020-03-29,0,0,0,1,3,2,2,1,3,3
2020-03-30,0,1,2,0,4,7,9,3,1,5
2020-03-31,0,0,1,0,1,1,7,1,3,1
2020-04-01,0,0,0,0,1,2,6,4,2,3
2020-04-02,0,0,0,1,1,1,2,1,4,8
2020-04-03,0,0,0,0,1,3,3,2,3,3
2020-04-04,0,0,0,1,2,1,1,4,2,6
2020-04-05,1,0,0,2,0,1,2,1,6,7
2020-04-06,0,0,0,0,1,2,4,2,3,5
2020-04-07,0,0,1,1,2,1,3,2,13,6
2020-04-08,0,0,0,1,2,3,0,1,4,5
2020-04-09,0,0,1,0,1,4,2,2,5,4
2020-04-10,0,0,0,2,4,1,3,2,2,3
2020-04-11,0,0,0,0,1,0,4,1,2,3
2020-04-12,0,0,0,0,2,1,1,2,1,5
2020-04-13,0,0,0,0,1,1,1,3,1,2
2020-04-14,0,0,0,3,2,2,4,5,2,4
2020-04-15,1,0,1,0,2,3,1,4,1,3
2020-04-16,0,0,0,1,1,2,1,0,0,0
2020-04-17,0,0,0,1,0,1,3,0,2,2
2020-04-18,0,0,0,1,1,0,1,0,0,0
2020-04-19,1,1,0,0,0,0,4,1,3,5
2020-04-20,0,1,1,1,0,2,3,2,3,11
2020-04-21,0,0,0,0,0,2,0,1,1,1
2020-04-22,0,0,0,1,0,1,2,1,1,3
2020-04-23,0,0,1,0,0,0,1,1,2,1
2020-04-24,0,0,0,0,1,0,2,2,1,4
2020-04-25,0,0,0,0,0,1,2,1,2,2
2020-04-26,0,0,0,0,0,0,3,1,0,0
2020-04-27,0,0,0,0,1,1,3,3,2,0
2020-04-28,0,0,0,1,0,0,0,0,0,1
2020-04-29,0,0,0,1,0,1,0,1,0,0
2020-04-30,0,0,0,0,0,2,0,1,1,0
2020-05-01,0,0,0,0,0,3,0,0,0,0
2020-05-02,1,0,0,0,0,1,0,0,1,0
2020-05-03,0,0,0,0,0,1,0,0,1,0
2020-05-04,0,0,0,1,0,0,2,1,2,0
2020-05-05,0,0,0,0,1,0,0,0,0,0
2020-05-06,0,0,0,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0,1,0,0
2020-05-08,0,0,0,0,0,0,0,0,1,0
2020-05-09,0,0,0,0,0,0,1,0,0,1
2020-05-10,0,0,0,0,0,0,1,0,1,0
2020-05-11,0,0,1,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,1,0,0
2020-05-13,0,0,0,0,0,0,0,1,0,0
2020-05-14,0,0,0,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,1,0,0,0,0,0,0,0
2020-05-18,0,0,0,1,0,1,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,2
2020-05-20,0,0,0,0,0,1,1,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,1,1,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,1,0,0
2020-05-25,0,0,0,0,2,0,0,0,0,0
2020-05-26,0,0,0,0,1,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,1,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,1,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,1
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,1,1
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,1,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,1,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,2,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,1,0,0,0,0
2020-06-30,0,0,0,0,1,1,0,0,0,0
2020-07-01,0,0,0,0,1,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,1,0,0,0
2020-07-03,1,0,0,0,1,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,1,0,0,0,0,0
2020-07-06,0,0,0,2,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,1,0,0,0
2020-07-08,0,0,0,0,0,1,2,0,0,0
2020-07-09,0,0,0,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0,1,0,1
2020-07-11,0,0,0,0,0,1,0,0,0,0
2020-07-12,0,0,1,0,0,2,0,0,0,0
2020-07-13,0,0,1,0,1,0,0,0,0,0
2020-07-14,0,1,0,0,2,1,0,0,1,0
2020-07-15,0,0,1,0,0,0,2,0,0,0
2020-07-16,0,0,0,1,0,3,2,0,1,0
2020-07-17,0,0,0,0,1,0,1,0,1,0
2020-07-18,0,0,0,0,0,0,1,1,1,0
2020-07-19,0,0,1,1,0,0,0,0,0,2
2020-07-20,0,1,0,0,0,2,0,0,1,0
2020-07-21,0,0,0,0,1,0,1,1,1,0
2020-07-22,1,0,1,0,0,0,1,1,0,0
2020-07-23,0,0,0,1,2,0,2,0,0,0
2020-07-24,0,1,0,2,1,3,1,0,2,0
2020-07-25,0,0,0,2,1,0,0,0,0,0
2020-07-26,0,0,1,0,0,2,0,1,2,1
2020-07-27,0,0,0,1,1,1,1,2,0,0
2020-07-28,0,0,0,0,1,2,2,0,0,0
2020-07-29,0,0,0,0,1,0,0,2,0,0
2020-07-30,0,0,1,1,1,1,3,0,1,1
2020-07-31,0,0,1,1,0,0,3,0,0,1
2020-08-01,0,0,1,1,1,0,0,0,0,0
2020-08-02,0,0,1,0,2,0,2,0,1,1
2020-08-03,1,0,4,1,0,0,4,1,0,1
2020-08-04,0,0,0,0,0,2,0,1,0,0
2020-08-05,0,2,5,6,1,1,1,0,0,0
2020-08-06,1,0,6,1,0,4,3,1,1,0
2020-08-07,1,0,3,5,1,1,0,2,0,0
2020-08-08,1,0,7,2,5,5,1,0,0,0
2020-08-09,0,0,1,4,0,0,4,1,1,1
2020-08-10,0,0,3,1,2,0,0,2,1,1
2020-08-11,0,0,1,6,0,2,0,0,1,0
2020-08-12,0,1,2,5,0,0,3,1,0,0
2020-08-13,0,0,0,0,1,0,0,2,1,0
2020-08-14,0,0,2,5,2,5,2,0,1,0
2020-08-15,0,0,3,4,2,1,1,0,0,2
2020-08-16,0,0,5,4,0,2,1,0,3,2
2020-08-17,1,0,0,1,3,0,1,0,1,2
2020-08-18,0,0,1,5,1,1,2,3,2,0
2020-08-19,2,0,1,5,0,1,1,1,1,0
2020-08-20,0,1,2,7,0,2,3,1,0,1
2020-08-21,0,0,0,4,0,1,2,1,1,0
2020-08-22,0,0,0,1,1,1,2,2,2,1
2020-08-23,0,0,2,3,1,5,3,0,0,2
2020-08-24,1,0,1,4,1,3,3,4,2,0
2020-08-25,0,1,0,6,6,2,3,1,1,2
2020-08-26,0,1,0,4,5,0,2,2,0,0
2020-08-27,0,0,3,3,5,8,8,1,2,0
2020-08-28,0,2,2,2,1,10,5,5,2,0
2020-08-29,0,0,0,0,2,2,2,4,2,0
2020-08-30,0,0,1,1,1,9,5,3,1,2
2020-08-31,3,0,3,7,3,2,7,3,1,1
2020-09-01,0,1,2,2,8,3,10,7,5,1
2020-09-02,0,1,5,9,7,5,4,7,6,2
2020-09-03,1,4,1,6,2,9,6,6,1,1
2020-09-04,0,1,2,4,4,11,10,3,4,0
2020-09-05,1,3,1,6,4,7,3,8,4,2
2020-09-06,0,0,1,4,4,5,4,6,2,2
2020-09-07,0,0,2,7,9,15,10,8,4,2
2020-09-08,0,0,2,6,4,3,7,8,4,4
2020-09-09,0,0,0,7,10,4,5,5,2,1
2020-09-10,0,3,1,3,9,14,9,7,2,0
2020-09-11,1,0,0,3,4,9,8,5,5,1
2020-09-12,1,0,1,6,5,4,9,2,9,4
2020-09-13,1,0,0,3,6,4,6,3,8,0
2020-09-14,1,0,1,7,5,5,8,5,3,4
2020-09-15,1,1,1,4,12,11,11,8,8,4
2020-09-16,1,1,1,7,6,10,8,5,5,4
2020-09-17,1,1,1,7,8,11,12,7,7,2
2020-09-18,0,0,2,8,13,13,16,13,5,3
2020-09-19,1,2,8,19,22,27,23,5,4,4
2020-09-20,3,3,1,11,8,14,15,14,6,2
2020-09-21,1,0,1,9,10,6,15,9,6,1
2020-09-22,1,0,5,5,11,10,16,12,9,4
2020-09-23,1,0,0,10,11,7,14,10,1,2
2020-09-24,1,3,6,6,8,9,14,3,5,3
2020-09-25,2,0,8,5,10,13,16,12,13,5
