date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-24,,,,,,,,,,
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,1,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,1,0
2020-03-04,0,0,0,0,1,0,0,1,0,0
2020-03-05,0,0,0,0,0,4,0,0,0,0
2020-03-06,0,0,0,1,0,1,2,0,0,0
2020-03-07,0,1,4,3,2,1,2,0,0,0
2020-03-08,0,0,2,1,0,3,3,4,1,0
2020-03-09,0,0,0,1,5,4,5,3,2,0
2020-03-10,0,0,2,3,5,4,6,7,3,2
2020-03-11,1,0,0,3,4,7,7,3,7,0
2020-03-12,0,0,0,0,4,10,12,9,2,0
2020-03-13,0,0,2,3,11,11,5,11,7,0
2020-03-14,0,0,5,5,7,6,4,5,4,2
2020-03-15,0,0,6,4,4,9,5,9,10,1
2020-03-16,1,4,5,3,9,13,18,9,10,2
2020-03-17,0,0,5,8,14,8,9,12,4,5
2020-03-18,0,1,1,7,10,17,15,9,18,4
2020-03-19,0,0,5,6,9,15,18,21,10,3
2020-03-20,0,0,16,7,22,23,22,20,16,8
2020-03-21,0,0,5,10,10,11,14,12,12,1
2020-03-22,0,0,1,5,8,4,8,15,11,2
2020-03-23,0,1,2,2,14,20,11,17,13,0
2020-03-24,0,0,3,5,8,17,18,23,14,4
2020-03-25,1,1,4,10,7,20,14,16,14,2
2020-03-26,0,2,9,8,13,28,14,17,20,6
2020-03-27,0,0,11,3,14,15,19,16,9,3
2020-03-28,0,0,3,10,11,20,7,4,13,4
2020-03-29,1,0,2,4,4,17,14,5,4,3
2020-03-30,0,0,4,4,9,22,10,13,9,8
2020-03-31,0,1,5,8,14,17,13,15,13,6
2020-04-01,2,0,6,10,15,22,8,8,7,6
2020-04-02,3,2,12,9,9,19,13,10,12,4
2020-04-03,0,1,6,6,6,4,18,12,12,3
2020-04-04,0,2,7,1,8,6,7,7,5,1
2020-04-05,1,0,0,3,5,2,5,2,4,0
2020-04-06,0,1,9,8,15,13,6,8,9,10
2020-04-07,1,2,5,8,6,13,11,4,11,1
2020-04-08,0,0,8,8,11,13,9,13,5,5
2020-04-09,1,0,5,3,9,14,8,10,19,7
2020-04-10,0,2,7,7,11,12,6,14,6,1
2020-04-11,0,1,2,5,2,5,1,2,7,1
2020-04-12,0,0,0,0,1,2,1,3,0,0
2020-04-13,1,0,7,7,5,2,4,1,8,3
2020-04-14,1,3,4,1,4,14,5,3,7,2
2020-04-15,1,1,6,3,12,11,7,9,7,1
2020-04-16,1,2,5,2,4,10,8,3,1,1
2020-04-17,0,0,8,7,11,11,7,5,10,0
2020-04-18,0,0,0,0,2,1,2,2,0,3
2020-04-19,0,0,1,3,1,0,0,1,0,0
2020-04-20,1,0,1,2,6,5,8,2,6,0
2020-04-21,0,3,2,0,4,2,4,6,6,1
2020-04-22,0,1,4,2,3,3,1,6,4,0
2020-04-23,0,4,1,2,5,4,3,2,3,2
2020-04-24,0,4,2,3,7,1,6,6,2,1
2020-04-25,2,2,3,2,2,2,2,3,5,2
2020-04-26,1,7,1,2,4,3,1,3,2,0
2020-04-27,2,3,4,1,1,7,2,3,3,1
2020-04-28,4,3,3,2,1,3,1,3,1,0
2020-04-29,0,1,3,0,1,1,0,0,0,0
2020-04-30,2,6,2,2,4,6,4,4,2,0
2020-05-01,1,2,3,3,4,4,3,1,2,0
2020-05-02,1,3,1,0,1,2,0,1,2,1
2020-05-03,0,0,0,0,2,0,1,0,1,0
2020-05-04,0,6,4,0,2,4,3,2,3,0
2020-05-05,1,6,6,2,5,5,3,1,4,3
2020-05-06,0,4,2,0,3,3,4,2,2,0
2020-05-07,1,4,4,1,2,6,0,0,1,3
2020-05-08,1,2,5,3,2,6,2,2,0,1
2020-05-09,1,0,2,1,1,2,1,1,0,0
2020-05-10,0,1,0,0,0,3,0,0,1,1
2020-05-11,0,3,1,2,3,3,2,0,2,0
2020-05-12,0,2,3,4,2,0,0,2,1,1
2020-05-13,0,0,1,2,1,3,2,0,2,0
2020-05-14,0,1,2,1,2,1,2,0,0,0
2020-05-15,1,1,2,6,2,2,3,1,0,0
2020-05-16,1,2,0,0,0,1,0,1,1,0
2020-05-17,0,0,0,1,0,0,1,0,0,0
2020-05-18,0,0,1,2,0,0,0,0,2,0
2020-05-19,0,0,0,1,2,0,0,1,3,0
2020-05-20,1,0,0,0,1,0,0,2,0,0
2020-05-21,0,0,0,0,0,0,1,0,0,0
2020-05-22,0,0,1,0,0,0,0,1,0,0
2020-05-23,0,0,1,0,1,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,1,1,3,2,0,0,0
2020-05-26,1,0,0,1,0,2,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,1,1,0,0,0,0,1
2020-05-29,0,1,0,0,0,0,0,1,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,1,0,0,0,1,0,0,0,0
2020-06-05,0,0,1,0,0,0,1,0,0,0
2020-06-06,0,0,0,0,0,0,0,1,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,1,0,0,0,0,0,0
2020-06-09,1,0,2,0,0,1,0,0,0,0
2020-06-10,0,0,0,0,1,0,1,0,0,0
2020-06-11,0,0,0,0,0,0,1,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,1,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,1,0,0,0,0,0,0,0
2020-06-16,0,0,0,2,0,0,0,0,0,0
2020-06-17,1,0,0,0,1,0,2,0,0,0
2020-06-18,0,0,0,1,0,0,0,1,0,0
2020-06-19,0,1,0,1,1,0,0,0,0,0
2020-06-20,6,2,0,1,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,1,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,1,2,0,0,0
2020-06-25,0,0,0,1,0,0,0,0,0,0
2020-06-26,0,0,0,0,1,1,0,0,1,0
2020-06-27,0,0,0,1,0,1,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,1,2,0,0,0,0
2020-06-30,0,0,0,2,0,1,1,0,0,0
2020-07-01,1,0,1,1,0,0,0,1,0,0
2020-07-02,0,0,1,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,1,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0
2020-07-06,1,0,0,0,0,2,1,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,2,1,1,1,0,1,0,0,0
2020-07-09,0,0,2,1,0,0,1,0,0,0
2020-07-10,0,0,1,1,0,0,1,0,0,0
2020-07-11,0,0,0,1,0,0,0,0,0,0
2020-07-12,2,0,0,0,0,0,0,1,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,1,0,0,0,0,0,0
2020-07-15,0,0,2,1,1,1,0,0,0,0
2020-07-16,0,1,0,0,0,0,0,0,0,0
2020-07-17,0,0,1,2,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,1,0,0,0,0,0,0,0
2020-07-20,2,0,4,5,13,3,0,0,1,0
2020-07-21,0,0,7,6,5,1,0,0,0,0
2020-07-22,0,0,3,2,2,0,0,0,0,0
2020-07-23,3,1,0,1,0,1,1,0,0,0
2020-07-24,0,2,0,1,2,2,0,0,0,0
2020-07-25,0,0,0,0,0,1,0,0,0,0
2020-07-26,0,0,0,1,0,0,0,0,0,0
2020-07-27,0,0,1,0,2,2,0,1,0,0
2020-07-28,0,0,1,2,2,3,0,0,0,0
2020-07-29,1,1,2,1,2,0,1,0,0,0
2020-07-30,1,0,0,0,0,2,1,0,0,0
2020-07-31,1,1,1,1,1,0,0,0,0,0
2020-08-01,0,0,0,0,1,0,0,0,0,0
2020-08-02,0,0,0,0,0,1,0,0,0,0
2020-08-03,0,0,0,0,1,0,3,0,0,0
2020-08-04,0,1,1,0,0,0,1,1,0,0
2020-08-05,3,3,0,0,3,0,0,0,0,0
2020-08-06,0,0,1,0,1,2,0,0,0,0
2020-08-07,1,1,1,0,2,0,0,1,0,0
2020-08-08,0,0,1,1,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0,0,0,0
2020-08-10,0,1,0,1,0,1,0,0,0,0
2020-08-11,0,0,1,1,0,0,0,0,0,0
2020-08-12,0,1,1,0,1,0,0,1,0,0
2020-08-13,0,0,4,0,0,0,0,0,0,0
2020-08-14,0,0,1,0,1,0,0,0,0,0
2020-08-15,0,0,1,0,1,1,0,0,0,0
2020-08-16,0,0,0,0,0,0,0,0,0,0
2020-08-17,0,1,1,1,2,1,1,0,0,0
2020-08-18,0,1,4,2,0,1,0,1,0,0
2020-08-19,0,1,2,0,1,2,0,0,0,0
2020-08-20,1,1,5,3,2,4,3,0,0,0
2020-08-21,1,0,4,4,2,1,1,1,0,0
2020-08-22,0,0,2,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,1,0,0,0
2020-08-24,0,1,3,1,0,4,0,1,0,0
2020-08-25,3,0,0,1,4,0,2,0,0,0
2020-08-26,1,2,1,2,4,2,0,0,1,0
2020-08-27,0,2,3,0,2,1,1,0,0,0
2020-08-28,1,5,5,1,1,1,0,0,0,0
2020-08-29,0,0,0,2,2,0,0,1,0,0
2020-08-30,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,3,3,5,2,0,1,0,0,0
2020-09-01,0,2,9,11,12,5,1,0,0,0
2020-09-02,1,1,12,27,24,8,0,0,0,0
2020-09-03,4,2,6,11,5,2,0,0,1,0
2020-09-04,7,6,9,12,3,4,0,2,0,0
2020-09-05,1,0,2,2,3,5,1,1,0,1
2020-09-06,1,1,0,0,1,3,0,0,0,0
2020-09-07,0,3,8,1,3,1,2,0,1,0
2020-09-08,5,1,9,15,16,10,0,1,1,1
2020-09-09,0,2,7,6,5,3,2,1,0,0
2020-09-10,3,3,7,9,10,4,0,0,0,0
2020-09-11,2,3,11,7,0,9,2,0,0,0
2020-09-12,1,1,4,0,4,0,1,1,0,0
2020-09-13,0,0,1,0,0,2,0,0,0,0
2020-09-14,3,7,10,14,10,9,0,1,0,0
2020-09-15,2,4,9,19,9,11,2,0,1,1
2020-09-16,0,1,7,7,6,5,3,0,0,0
2020-09-17,5,2,8,8,4,4,5,0,1,0
2020-09-18,3,4,15,9,12,3,2,2,2,0
2020-09-19,1,2,3,0,2,1,3,2,0,0
2020-09-20,0,0,0,0,1,0,0,0,1,0
2020-09-21,6,5,9,8,8,5,1,1,2,0
2020-09-22,4,5,17,20,11,6,6,3,0,0
2020-09-23,4,11,16,12,16,8,3,0,0,0
2020-09-24,3,3,5,3,8,6,3,1,2,0
2020-09-25,2,3,3,6,4,10,1,3,0,0
2020-09-26,1,0,1,1,4,0,1,1,0,1
2020-09-27,0,0,0,0,0,0,1,1,0,0
2020-09-28,1,7,6,3,7,5,6,3,1,0
2020-09-29,5,1,7,6,8,1,5,1,1,0
2020-09-30,0,1,8,4,10,3,1,3,2,1
2020-10-01,2,5,1,7,5,2,5,3,1,0
2020-10-02,5,16,4,6,15,10,6,3,1,2
2020-10-03,0,0,2,2,1,2,0,1,1,0
2020-10-04,0,0,1,0,3,1,1,3,1,3
2020-10-05,8,18,8,1,11,8,5,8,2,1
2020-10-06,3,6,3,8,6,9,3,3,4,0
2020-10-07,6,8,6,12,12,10,4,7,6,0
2020-10-08,1,6,15,11,13,10,5,5,3,0
2020-10-09,4,11,8,7,11,12,9,2,5,0
2020-10-10,2,10,5,2,3,4,3,3,1,0
2020-10-11,0,0,0,1,0,0,1,0,1,0
2020-10-12,10,25,9,9,11,15,13,5,4,2
2020-10-13,10,6,13,10,11,20,8,3,3,1
2020-10-14,8,23,26,17,18,29,9,6,6,1
2020-10-15,6,18,14,11,10,16,9,4,3,1
2020-10-16,8,29,9,15,30,36,26,12,5,0
2020-10-17,4,26,11,11,12,18,10,6,6,1
2020-10-18,1,3,3,4,0,3,4,3,3,0
2020-10-19,7,45,36,24,30,36,26,14,6,2
2020-10-20,21,33,26,36,29,42,20,10,7,2
2020-10-21,12,36,38,39,35,52,32,19,14,3
2020-10-22,17,37,39,28,31,42,17,16,8,2
2020-10-23,26,41,67,39,49,50,23,19,7,6
2020-10-24,19,16,17,13,15,24,13,11,9,1
2020-10-25,10,15,14,8,10,10,10,6,4,4
2020-10-26,15,51,49,13,37,46,27,24,9,2
2020-10-27,22,33,38,32,53,43,27,22,17,5
2020-10-28,15,55,53,51,57,72,48,27,22,9
2020-10-29,14,74,44,61,47,72,34,25,21,4
2020-10-30,19,44,49,44,62,57,37,28,14,5
2020-10-31,27,39,45,35,42,59,31,17,21,4
2020-11-01,1,10,11,7,9,13,10,11,13,2
2020-11-02,17,53,65,52,66,77,39,38,34,5
2020-11-03,16,36,53,67,54,85,49,39,31,9
2020-11-04,14,45,62,50,66,80,49,49,24,6
2020-11-05,23,53,62,50,70,87,50,46,26,1
2020-11-06,12,41,44,44,73,74,50,38,35,7
2020-11-07,22,45,49,41,57,91,47,39,27,3
2020-11-08,4,11,8,4,11,18,7,19,10,6
2020-11-09,27,46,54,58,64,76,50,34,42,10
2020-11-10,33,40,51,40,46,66,54,48,35,11
2020-11-11,21,39,46,53,68,96,47,45,31,9
2020-11-12,11,39,29,45,63,89,39,37,26,4
2020-11-13,16,43,67,55,78,110,66,53,29,9
2020-11-14,15,28,29,31,51,61,32,18,9,5
2020-11-15,0,2,1,4,12,12,14,11,9,1
2020-11-16,29,25,39,47,52,90,49,25,32,7
2020-11-17,22,45,64,65,84,88,61,43,40,5
2020-11-18,19,38,54,63,58,83,55,43,47,18
2020-11-19,13,38,42,49,58,68,39,35,25,7
2020-11-20,14,37,37,34,47,62,32,29,22,3
