date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-01-31,0,0,0,0,0,0,0,0,0,0,1
2020-02-01,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,1,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,1,0,0,0,0,0
2020-02-12,0,0,0,0,0,1,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,1,1,0,0,0,0,0
2020-02-16,0,0,0,0,0,1,0,1,0,0,0
2020-02-17,0,0,0,0,0,0,0,2,1,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,1,0,1,1,0
2020-02-21,0,0,0,1,0,1,1,0,0,0,0
2020-02-22,0,0,0,0,0,1,1,1,1,1,0
2020-02-23,0,1,0,1,2,0,1,0,2,1,0
2020-02-24,0,0,0,1,0,0,1,1,0,1,0
2020-02-25,0,0,0,0,1,0,3,4,1,0,0
2020-02-26,0,0,0,0,1,0,2,3,3,1,0
2020-02-27,0,0,0,0,0,1,3,3,1,0,0
2020-02-28,0,0,0,0,3,2,3,8,2,4,0
2020-02-29,0,0,0,2,1,1,5,6,0,0,0
2020-03-01,1,0,0,2,1,6,4,9,6,5,3
2020-03-02,0,0,1,1,2,9,6,10,7,4,0
2020-03-03,1,2,1,1,6,10,14,5,7,5,0
2020-03-04,0,0,0,1,0,7,9,10,5,2,1
2020-03-05,0,1,0,3,4,10,18,10,3,4,0
2020-03-06,1,0,0,2,8,13,22,15,9,5,0
2020-03-07,0,0,1,5,10,14,16,18,15,10,0
2020-03-08,1,1,1,11,7,13,29,20,23,12,1
2020-03-09,0,0,3,3,8,18,19,29,14,15,2
2020-03-10,0,1,2,7,11,22,32,38,20,20,2
2020-03-11,1,2,1,7,8,18,23,20,24,17,1
2020-03-12,0,0,2,9,20,15,37,20,32,10,4
2020-03-13,0,1,2,7,7,15,35,25,30,20,5
2020-03-14,1,2,1,1,15,16,37,32,40,24,2
2020-03-15,2,2,1,9,14,30,46,54,32,27,6
2020-03-16,3,1,2,3,9,22,36,31,35,23,5
2020-03-17,0,0,2,11,14,27,51,33,26,27,7
2020-03-18,0,1,4,11,9,34,37,39,35,27,8
2020-03-19,0,2,4,7,13,27,42,30,41,27,9
2020-03-20,0,4,1,12,15,32,46,47,51,47,19
2020-03-21,2,0,2,4,13,22,45,40,48,36,6
2020-03-22,2,0,1,8,9,22,55,46,38,25,9
2020-03-23,2,1,3,11,8,25,35,33,46,32,15
2020-03-24,0,3,3,7,12,28,35,31,27,21,11
2020-03-25,0,0,5,8,14,16,31,38,24,24,12
2020-03-26,0,2,6,3,15,23,36,30,30,31,16
2020-03-27,1,3,7,8,9,23,30,28,15,42,15
2020-03-28,0,0,2,7,6,14,32,20,23,36,21
2020-03-29,2,1,1,1,5,12,28,17,22,25,25
2020-03-30,1,0,1,4,10,19,25,20,37,67,51
2020-03-31,2,0,1,12,6,25,25,22,23,23,14
2020-04-01,2,2,2,14,20,32,74,30,28,37,18
2020-04-02,1,0,4,3,11,15,20,11,23,37,23
2020-04-03,0,4,0,5,11,12,20,20,21,34,9
2020-04-04,1,0,3,10,7,13,13,12,15,23,12
2020-04-05,0,1,1,3,5,8,6,9,14,5,8
2020-04-06,1,2,3,2,5,13,16,17,16,18,13
2020-04-07,2,0,1,4,7,14,21,11,16,22,14
2020-04-08,1,1,0,6,12,13,28,9,17,21,5
2020-04-09,0,0,0,8,12,15,19,18,13,14,5
2020-04-10,0,0,6,4,14,24,28,15,15,19,17
2020-04-11,0,2,0,9,3,14,18,6,7,22,8
2020-04-12,1,0,0,5,4,12,15,11,12,16,11
2020-04-13,0,0,1,4,7,8,14,4,12,14,13
2020-04-14,0,1,3,11,9,18,23,14,13,23,6
2020-04-15,0,0,2,5,9,16,17,16,9,17,14
2020-04-16,1,0,0,15,6,10,20,9,9,18,5
2020-04-17,1,1,0,6,8,13,17,10,3,8,3
2020-04-18,0,0,0,3,2,6,8,7,9,15,5
2020-04-19,1,0,0,3,2,8,4,1,4,7,6
2020-04-20,0,2,1,4,9,13,13,9,10,14,8
2020-04-21,0,0,2,4,5,8,7,5,8,10,1
2020-04-22,2,3,1,7,7,8,14,5,6,5,2
2020-04-23,0,0,1,8,5,6,9,6,5,5,0
2020-04-24,0,1,1,1,1,8,9,8,7,7,3
2020-04-25,0,0,1,3,2,0,4,3,2,4,1
2020-04-26,1,0,0,1,0,0,0,1,2,2,0
2020-04-27,0,0,1,4,5,3,2,4,6,3,2
2020-04-28,0,1,0,5,6,5,4,1,2,1,1
2020-04-29,0,1,1,5,5,0,5,2,3,1,2
2020-04-30,0,0,0,5,4,5,3,1,3,2,1
2020-05-01,0,0,0,2,2,3,4,3,1,5,0
2020-05-02,0,0,0,4,4,1,5,4,3,2,2
2020-05-03,1,1,0,0,4,1,5,0,1,6,0
2020-05-04,0,0,1,1,2,5,1,1,0,4,1
2020-05-05,0,2,0,3,3,6,4,2,1,3,3
2020-05-06,0,0,0,3,0,5,2,0,0,1,0
2020-05-07,2,1,0,0,2,2,1,2,0,0,3
2020-05-08,0,0,2,0,0,3,3,4,0,0,0
2020-05-09,0,0,2,0,1,2,0,0,3,1,0
2020-05-10,0,0,0,0,0,0,1,1,0,1,1
2020-05-11,0,0,0,1,1,2,1,0,0,0,0
2020-05-12,0,0,0,0,1,0,3,2,1,1,2
2020-05-13,0,0,0,0,0,1,0,0,2,0,0
2020-05-14,0,0,0,1,1,1,5,3,2,1,0
2020-05-15,0,0,0,1,0,3,1,1,1,0,0
2020-05-16,0,0,0,1,0,2,3,0,1,2,0
2020-05-17,0,0,0,0,1,1,0,0,0,1,0
2020-05-18,0,0,0,0,2,2,0,1,0,1,0
2020-05-19,0,0,1,1,0,0,1,0,0,3,0
2020-05-20,0,0,0,0,1,1,2,2,3,2,1
2020-05-21,0,0,0,0,1,1,2,2,1,2,0
2020-05-22,0,0,0,0,0,2,0,1,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,2,1,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,1,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,1,0,0,1,0,1,0
2020-05-27,0,0,0,0,0,0,1,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,1,1,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,2,0
2020-06-01,0,0,0,0,0,0,1,0,0,0,0
2020-06-02,0,0,0,0,1,0,0,0,0,1,0
2020-06-03,0,0,0,1,0,1,1,0,0,0,0
2020-06-04,0,0,0,0,0,0,2,0,1,1,1
2020-06-05,0,0,0,0,0,0,0,0,1,0,0
2020-06-06,0,0,0,0,2,0,0,0,0,2,0
2020-06-07,0,0,0,0,0,0,0,1,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,1,1,0,1,0,0,1
2020-06-10,0,0,0,0,0,0,1,0,0,0,0
2020-06-11,0,0,0,1,0,0,2,0,0,1,0
2020-06-12,0,0,0,0,0,0,1,1,1,0,0
2020-06-13,0,0,0,0,0,0,0,0,1,0,0
2020-06-14,0,0,0,0,0,1,0,0,0,1,0
2020-06-15,0,0,0,0,0,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,1,0,1,0,1
2020-06-18,0,0,0,1,0,0,2,0,0,1,0
2020-06-19,0,0,0,0,1,0,0,0,0,1,0
2020-06-20,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,1,0,0,0,1,0,1,0
2020-06-24,1,1,0,1,0,0,1,0,0,0,0
