date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-20,,,,,,,,,,
2020-02-21,0,0,0,0,0,0,2,1,3,2
2020-02-22,0,0,0,0,0,0,1,0,1,2
2020-02-23,0,0,0,0,2,1,2,3,4,0
2020-02-24,0,0,1,0,3,3,4,3,1,1
2020-02-25,0,0,0,0,0,3,1,2,3,0
2020-02-26,0,0,0,1,0,2,0,1,3,0
2020-02-27,0,0,0,0,2,0,4,4,3,4
2020-02-28,0,0,0,0,1,1,1,3,5,1
2020-02-29,0,0,1,0,0,2,2,3,4,0
2020-03-01,0,0,0,0,1,4,1,5,10,1
2020-03-02,0,0,0,1,4,3,3,6,5,3
2020-03-03,0,0,0,2,2,7,9,7,9,5
2020-03-04,1,1,0,0,1,1,6,6,6,2
2020-03-05,0,1,0,0,1,8,4,11,12,6
2020-03-06,1,0,1,0,1,6,9,17,10,3
2020-03-07,0,0,3,0,3,6,15,17,10,2
2020-03-08,0,0,0,1,4,5,9,16,8,6
2020-03-09,0,0,1,1,1,10,10,25,13,7
2020-03-10,1,0,0,2,5,13,17,13,15,4
2020-03-11,0,0,3,2,9,14,14,23,16,6
2020-03-12,0,1,3,1,6,12,15,27,26,6
2020-03-13,0,1,2,3,10,19,16,25,24,8
2020-03-14,0,0,2,0,8,20,17,26,16,5
2020-03-15,2,0,0,3,16,21,21,22,19,4
2020-03-16,0,0,1,3,10,28,33,30,36,6
2020-03-17,0,0,3,5,9,33,51,45,24,6
2020-03-18,0,0,1,4,16,30,34,50,33,5
2020-03-19,0,1,3,4,5,28,46,50,32,2
2020-03-20,0,0,0,4,9,38,39,50,41,10
2020-03-21,1,0,4,3,9,36,30,40,47,14
2020-03-22,0,0,2,5,6,25,28,28,26,8
2020-03-23,0,0,2,3,17,27,46,46,42,11
2020-03-24,0,1,1,5,10,35,54,41,45,9
2020-03-25,0,0,0,2,14,31,22,37,35,9
2020-03-26,0,0,0,2,4,21,31,40,33,8
2020-03-27,0,0,1,1,10,25,31,30,50,8
2020-03-28,0,1,0,2,7,19,29,21,24,13
2020-03-29,1,1,2,1,8,9,13,19,31,4
2020-03-30,0,0,1,1,15,16,21,30,28,8
2020-03-31,0,0,1,2,3,14,18,13,32,12
2020-04-01,0,0,2,3,8,15,15,22,22,9
2020-04-02,0,0,1,2,5,15,17,20,21,3
2020-04-03,0,0,1,1,0,10,11,13,21,4
2020-04-04,0,0,1,1,7,8,15,11,21,9
2020-04-05,0,0,0,2,3,10,13,9,20,4
2020-04-06,0,0,1,1,7,12,10,13,17,12
2020-04-07,0,0,0,2,5,10,10,13,26,10
2020-04-08,0,0,1,2,8,13,5,17,16,8
2020-04-09,0,0,1,3,3,9,16,14,19,9
2020-04-10,0,0,1,0,1,5,8,7,18,9
2020-04-11,1,0,1,0,3,0,8,8,18,8
2020-04-12,0,0,2,0,2,9,5,5,16,8
2020-04-13,0,0,0,1,3,2,3,3,20,9
2020-04-14,0,0,2,3,5,3,9,12,21,12
2020-04-15,0,0,1,0,3,5,6,7,13,5
2020-04-16,0,0,1,2,2,2,9,6,13,7
2020-04-17,0,0,0,1,2,4,10,7,17,8
2020-04-18,1,0,0,1,3,3,5,6,14,6
2020-04-19,0,0,0,0,1,3,3,4,15,11
2020-04-20,0,1,1,1,0,5,5,5,17,5
2020-04-21,0,0,0,0,2,3,7,4,12,12
2020-04-22,0,0,0,2,3,5,5,5,14,8
2020-04-23,0,0,0,1,0,6,6,9,15,9
2020-04-24,0,0,0,1,1,5,3,6,16,6
2020-04-25,0,0,2,0,3,5,3,1,2,6
2020-04-26,0,0,0,0,0,3,3,2,11,4
2020-04-27,0,1,2,1,1,3,2,7,8,4
