date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-20,0,0,0,0,0,0,1,1,0,1,1
2020-02-21,0,0,0,0,0,0,0,1,0,1,1
2020-02-22,0,0,0,0,0,0,0,1,0,1,1
2020-02-23,0,0,0,0,0,0,1,1,2,2,0
2020-02-24,0,0,0,0,0,3,1,4,2,1,0
2020-02-25,0,0,0,0,0,0,2,0,2,2,0
2020-02-26,0,0,0,0,1,0,2,0,1,0,0
2020-02-27,0,0,0,0,0,1,0,4,3,1,1
2020-02-28,0,0,0,0,0,1,0,2,3,0,1
2020-02-29,0,0,0,1,0,0,1,0,2,2,0
2020-03-01,0,0,0,0,0,1,2,1,3,4,0
2020-03-02,0,0,0,1,0,3,3,2,2,4,2
2020-03-03,0,0,0,1,1,2,4,8,5,5,2
2020-03-04,1,0,0,0,0,0,0,4,3,5,1
2020-03-05,0,0,1,0,0,1,7,3,8,10,4
2020-03-06,0,0,0,1,0,1,3,7,8,6,1
2020-03-07,0,0,0,2,0,2,6,11,11,7,1
2020-03-08,0,0,0,0,1,3,4,4,11,3,3
2020-03-09,0,0,0,1,1,1,8,8,16,6,2
2020-03-10,0,0,0,0,0,2,10,10,6,12,2
2020-03-11,0,0,0,1,1,6,9,12,15,9,4
2020-03-12,0,0,1,1,1,4,11,11,21,18,0
2020-03-13,0,0,0,1,2,7,11,13,19,13,2
2020-03-14,0,0,0,1,0,7,12,14,19,10,0
2020-03-15,2,0,0,0,3,14,13,14,13,10,0
2020-03-16,0,0,0,0,2,7,20,24,19,25,1
2020-03-17,0,0,0,1,4,7,25,40,30,18,3
2020-03-18,0,0,0,1,2,10,25,21,36,21,2
2020-03-19,0,0,1,2,1,3,25,36,35,15,1
2020-03-20,0,0,0,0,4,3,29,26,39,25,2
2020-03-21,1,0,0,2,2,8,27,21,25,23,7
2020-03-22,0,0,0,1,2,4,14,21,17,13,4
2020-03-23,0,0,0,0,2,13,19,32,31,20,3
2020-03-24,0,0,0,1,2,7,25,38,28,25,3
2020-03-25,0,0,0,0,1,12,17,13,26,15,4
2020-03-26,0,0,0,0,2,3,13,21,25,20,1
2020-03-27,0,0,0,1,0,6,12,23,17,26,3
2020-03-28,0,0,0,0,2,4,14,17,11,11,4
2020-03-29,0,0,0,1,1,6,8,10,13,14,2
2020-03-30,0,0,0,1,1,8,13,14,18,12,1
2020-03-31,0,0,0,1,2,1,9,13,9,16,6
2020-04-01,0,0,0,0,1,6,10,7,12,10,3
2020-04-02,0,0,0,1,0,4,11,12,14,10,1
2020-04-03,0,0,0,0,0,0,7,6,6,11,0
2020-04-04,0,0,0,0,0,3,4,12,6,9,2
2020-04-05,0,0,0,0,0,2,2,9,3,11,0
2020-04-06,0,0,0,1,0,4,3,7,10,10,2
2020-04-07,0,0,0,1,2,4,4,7,8,15,2
2020-04-08,0,0,0,1,1,6,5,2,10,6,4
2020-04-09,0,0,0,1,1,3,6,11,9,7,1
2020-04-10,0,0,0,0,0,0,4,5,1,9,2
2020-04-11,1,0,0,1,0,0,0,5,2,7,1
2020-04-12,0,0,0,1,0,2,4,4,1,6,3
2020-04-13,0,0,0,0,1,0,1,3,2,8,1
2020-04-14,0,0,0,0,1,2,0,6,5,9,2
2020-04-15,0,0,0,1,0,1,2,6,4,9,0
2020-04-16,0,0,0,0,1,1,0,8,3,4,2
2020-04-17,0,0,0,0,1,2,0,6,3,5,5
2020-04-18,0,0,0,0,0,1,3,2,6,6,1
2020-04-19,0,0,0,0,0,1,0,1,3,2,4
2020-04-20,0,0,0,1,0,0,4,4,5,8,2
2020-04-21,0,0,0,0,0,1,0,4,2,4,6
2020-04-22,0,0,0,0,1,1,3,5,1,4,1
2020-04-23,0,0,0,0,1,0,3,5,5,8,1
2020-04-24,0,0,0,0,0,1,4,0,4,7,1
2020-04-25,0,0,0,2,0,3,2,2,0,2,0
2020-04-26,0,0,0,0,0,0,1,2,2,3,1
2020-04-27,0,0,0,2,0,0,3,2,3,2,0
2020-04-28,0,0,0,0,0,0,3,0,2,6,3
2020-04-29,0,0,0,1,1,2,3,1,4,6,1
2020-04-30,0,0,0,0,0,0,1,1,2,2,2
2020-05-01,0,0,0,0,0,0,0,1,2,3,1
2020-05-02,0,0,0,0,0,2,1,1,1,1,0
2020-05-03,0,0,0,0,1,1,2,1,0,4,0
2020-05-04,0,0,0,0,0,0,0,4,3,1,0
2020-05-05,0,0,0,0,0,0,2,0,1,6,1
2020-05-06,0,0,0,0,0,0,0,2,2,2,1
2020-05-07,0,0,0,0,0,0,0,1,1,2,1
2020-05-08,0,0,0,0,0,0,0,2,2,3,1
2020-05-09,0,0,0,0,1,1,0,2,0,2,0
2020-05-10,0,0,0,0,1,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0,5,1,0
2020-05-12,0,0,0,0,1,1,0,0,0,3,0
2020-05-13,0,0,0,0,0,0,0,0,2,2,0
2020-05-14,0,0,0,0,0,0,2,1,1,1,0
2020-05-15,0,0,0,0,0,0,1,1,1,0,0
2020-05-16,0,0,0,0,0,0,1,0,0,2,0
2020-05-17,0,0,0,0,0,0,0,0,0,1,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,1
2020-05-19,0,0,0,0,0,2,1,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,1,0
2020-05-22,0,0,0,0,0,1,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,1,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,1,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,1,0,0,0
2020-05-28,0,0,0,0,0,1,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,1,0,1,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,1,0,0
2020-06-02,0,0,0,0,0,0,0,0,1,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,2,0,0,1,0
2020-06-06,0,0,0,0,1,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,1,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,1,0
2020-06-11,0,0,0,0,0,1,0,0,0,0,1
2020-06-12,0,0,0,0,1,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,1,0,1,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,1,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,1,0,1,0
2020-06-20,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,1,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,1,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,1,0,0,1,0,0,0,0,0,1,0
2020-06-30,0,0,0,0,1,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,1,1,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,1,0,0
2020-07-03,0,0,0,0,0,0,1,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,1,0,0,0,0
2020-07-06,0,0,0,1,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,1,0,0,0
2020-07-08,0,0,0,0,0,0,1,0,0,0,0
2020-07-09,0,0,0,0,0,3,0,0,0,0,0
2020-07-10,0,0,0,0,1,2,0,0,0,0,1
2020-07-11,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,2,0,0,1,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0,1,0,1
2020-07-15,0,0,0,0,0,0,1,1,0,0,0
2020-07-16,0,0,0,0,1,0,1,0,1,1,0
2020-07-17,0,0,0,2,1,0,1,0,1,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,1,0
2020-07-19,0,0,0,1,0,1,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,0,1,0,0,0,0
2020-07-22,0,0,0,0,0,0,1,0,0,0,0
2020-07-23,0,0,0,0,0,0,3,0,0,1,0
2020-07-24,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,1,1,0,0,0,1,0
2020-07-26,0,0,0,0,0,0,3,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,1,1,0,0
2020-07-28,0,0,0,0,0,0,2,0,0,0,0
2020-07-29,0,0,0,1,0,1,1,2,1,1,0
2020-07-30,0,0,0,0,0,0,1,1,0,0,0
2020-07-31,0,0,0,1,0,0,0,0,0,1,0
2020-08-01,0,0,0,0,0,0,1,1,0,0,1
2020-08-02,0,0,0,0,1,0,1,0,0,1,1
2020-08-03,0,0,0,0,1,0,0,0,0,0,0
2020-08-04,0,1,0,0,0,2,0,1,0,0,0
2020-08-05,0,0,0,0,0,0,0,1,0,0,0
2020-08-06,0,0,0,0,0,0,1,0,0,0,0
2020-08-07,0,0,0,0,1,2,1,0,0,0,0
2020-08-08,0,0,0,1,1,0,1,0,0,0,0
2020-08-09,0,0,1,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,1,0,1,1,2,0
2020-08-11,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,0,0,0,0,0,1,1,0,0,1,0
2020-08-13,0,0,0,0,0,2,0,1,1,0,0
2020-08-14,0,0,0,0,0,0,1,0,1,1,1
2020-08-15,0,0,0,0,0,1,1,0,1,0,1
